timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
27198127,27197105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27209568,27208827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27695121,27694314,0.0,0.0,0.0,0.0008405711,-0.00027492383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046260834,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28198316,28197568,0.0,0.0,0.0,0.0019776307,-0.008461683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07720566,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28694102,28693368,0.0,0.0,0.0,0.007427145,-0.02032099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1207428,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29202024,29201270,0.0,0.0,0.0,0.010789418,-0.017380249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043647766,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29690111,29689389,0.0,0.0,0.0,0.011707402,-0.0011648092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4658928,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30194936,30194144,0.0,0.0,0.0,0.011071521,0.0004832105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4610176,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30699785,30699040,0.0,0.0,0.0,0.006246582,-0.006340982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18875122,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31202386,31201609,0.0,0.0,0.0,-0.0008953623,-0.01055438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38441467,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31694118,31693266,0.0,0.0,0.0,0.003227838,-0.011547379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25914764,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32202502,32201716,0.0,0.0,0.0,0.0104182,0.0010886523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35817337,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32694168,32693442,0.0,0.0,0.0,0.017200787,0.019970132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17330551,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33194300,33193572,0.0,0.0,0.0,0.02487498,0.028154707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28147507,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33698281,33697600,0.0,0.0,0.0,0.04410818,0.042665146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18635559,0.0,0.0,nan,0.0,0.0,-0.09672538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34194811,34194011,0.0,0.0,0.0,0.04397365,0.052352194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053455353,0.0,0.0,nan,0.0,0.0,0.044052497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34694806,34693937,0.0,0.0,0.0,0.046523966,0.059606455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080566406,0.0,0.0,nan,0.0,0.0,-0.018044118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35194992,35194016,0.0,0.0,0.0,0.058533285,0.067759395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068920135,0.0,0.0,nan,0.0,0.0,-0.016321039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35702526,35701718,0.0,0.0,0.0,0.062679596,0.07047101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023414612,0.0,0.0,nan,0.0,0.0,-0.016335607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36198422,36197740,0.0,0.0,0.0,0.07148062,0.06527862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049488068,0.0,0.0,nan,0.0,0.0,0.018131312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36698262,36697451,0.0,0.0,0.0,0.07800985,0.048713118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005924225,0.0,0.0,nan,0.0,0.0,0.053998973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37198624,37197803,0.053953834,-0.00018709712,-0.119125254,-0.017365988,0.059531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035476685,0.0,0.0,nan,0.0,0.0,0.008906661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37694072,37693241,-0.028391942,0.030525887,-0.037844837,-0.07702894,-0.021372728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013141632,0.0,0.0,nan,0.0,0.0,0.024852205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38202390,38201668,0.02375933,0.05399351,-0.059257776,0.03609506,0.00048138946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19847107,0.0,0.0,nan,0.0,0.0,-0.031328067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38694808,38693961,-0.035628878,0.023693321,-0.014969178,-0.049126938,0.058009084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04340744,0.0,0.0,nan,0.0,0.0,0.056225646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
