timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
26126134,26125872,0.061733995,0.018839464,-9.721147
26135054,26134790,0.04385165,0.018619893,-9.705973
26177469,26177181,-0.08007821,-0.038992647,-9.947672
26229072,26228790,-0.1239212,0.0074931574,-9.701878
26274569,26274258,-0.1177164,-0.024005061,-9.619949
26329809,26329491,0.0354435,-0.044779778,-9.660882
26381469,26381150,-0.00064880325,-0.1215575,-9.337139
26429737,26429394,0.2057125,-0.22228163,-9.6227
26481490,26481165,-0.11933685,0.034006324,-9.64169
26529823,26529407,0.05585033,-0.06820209,-9.868107
26577955,26577499,-0.015103111,0.043129772,-9.676354
26629712,26629387,0.10289849,0.16971558,-9.605849
26678326,26677814,0.04481391,-0.0077438336,-9.572737
26729420,26729059,-0.01895443,-0.09719125,-9.752112
26777695,26777374,0.052822907,0.028755102,-9.767437
26829407,26829085,0.005276075,-0.089910485,-9.812153
26881836,26881513,-0.20206442,-0.22063394,-9.487976
26929383,26929004,-0.019339561,-0.0050439965,-9.8248825
26977572,26977256,0.059023157,0.255267,-9.562744
27029149,27028828,-0.20586686,-0.19413067,-9.875741
27081649,27081324,-0.032209963,0.22620566,-9.767991
27129506,27129181,-0.19075358,-0.273407,-9.441859
27177977,27177655,0.042120997,0.11108383,-9.745434
27230321,27229519,-0.021290505,-0.17517668,-10.0417
27277638,27277316,-0.09572204,0.1714762,-9.7106495
27329955,27329161,0.01845287,-0.10481427,-9.707111
27381556,27380764,0.09442312,-0.2979558,-9.501659
27429614,27429283,0.1063699,-0.055474896,-9.822072
27477715,27477393,0.16751856,-0.16054364,-9.593364
27529570,27529205,0.0055358605,-0.13679789,-9.997159
27581673,27581349,-0.09834522,-0.09581695,-9.494452
27629169,27628846,-0.023271358,0.021795157,-9.904731
27677136,27676818,0.048215088,-0.00252003,-9.38814
27729617,27729129,0.023554184,-0.114405565,-9.619982
27777668,27777340,-0.20732267,-0.08678233,-9.785244
27830365,27829574,-0.124464326,0.00056271546,-9.627351
27881906,27881583,0.10365298,-0.064519905,-9.709206
27929593,27928670,0.05077976,-0.23862159,-9.374892
27978006,27977552,-0.024113908,-0.07430123,-9.920963
28025719,28025397,-0.06717924,-0.14875041,-9.763142
28082144,28081344,-0.018837908,0.18237399,-9.549161
28130961,28130178,-0.18136415,-0.10134895,-9.67351
28177036,28176720,0.035942703,-0.09037645,-9.370147
28225602,28225283,-0.0026860465,-0.12934262,-9.757809
28278039,28277722,0.17676638,0.054561026,-9.738063
28329725,28329402,-0.006010886,-0.04375385,-9.986073
28377635,28377313,-0.09011678,0.05880667,-9.577082
28429677,28429346,0.03631487,0.15958986,-9.756997
28477596,28477275,0.003816907,-0.025599591,-9.68198
28530071,28529254,0.0047227633,-0.22064161,-9.8368025
28582186,28581343,0.10826026,0.1207162,-9.572056
28629463,28629140,-0.11092134,0.10622391,-9.696868
28677651,28677329,-0.08661453,-0.031455092,-9.897744
28729580,28729206,0.021764943,-0.16133727,-9.867271
28782333,28782014,-0.08971291,-0.13561901,-9.582897
28829591,28829275,0.076940395,-0.19500968,-9.81609
28877650,28877317,-0.17368525,0.08542189,-9.864606
28926328,28925427,-0.25592944,-0.074740335,-9.809627
28977721,28977393,-0.0060171443,-0.036139287,-9.819489
29029559,29029224,0.14844733,0.080036364,-9.665915
29077479,29077029,0.06300356,0.04528409,-9.897759
29129704,29129380,-0.07669648,0.07774518,-9.586867
29177359,29177038,-0.08321424,0.0026676187,-9.697686
29230290,29229406,-0.11999167,0.08860015,-9.677803
29282131,29281342,0.12542483,-0.10159132,-9.838821
29329847,29329524,0.08929536,0.057917707,-9.609147
29377700,29377368,0.08144789,0.07361547,-9.713143
29426497,29425626,-0.046447176,-0.1578019,-9.859562
29481772,29481451,-0.037417937,0.088072754,-9.616806
29530695,29529787,-0.035902906,-0.05669337,-9.899998
29577705,29577374,-0.027278297,-0.011544699,-9.7515745
29629359,29628873,-0.055183966,-0.1541632,-9.69148
29681074,29680290,0.05673643,-0.102129206,-9.578496
29729744,29729416,-0.07746592,-0.11097046,-9.847874
29777750,29776901,0.04245686,0.077027775,-9.525307
29829837,29829510,0.07750462,0.2027848,-9.90706
29878400,29877451,0.008379331,-0.08826487,-9.998914
29929581,29929257,-0.01397959,-0.26796418,-9.86643
29977471,29977027,-0.043330744,-0.15238789,-9.733649
30027813,30026975,-0.021043062,-0.16804768,-9.641039
30081159,30080875,-0.008196359,-0.08571335,-9.722963
30113687,30113321,-0.10684375,-0.14344916,-9.5278
30177863,30177541,-0.11680769,0.11548397,-9.486513
30229914,30229593,-0.051374972,-0.024237728,-9.881091
30277948,30277626,-0.183201,-0.15020062,-9.57198
30326587,30326127,-0.0031390814,-0.13261491,-9.938668
30381669,30381337,-0.18707548,0.09509452,-9.762115
30425599,30424810,-0.0075160647,-0.09728018,-9.599712
30474238,30473458,-0.13892998,-0.20886195,-9.43137
30530182,30529387,-0.09003485,-0.21433507,-9.73013
30581591,30580808,-0.14191636,-0.023574753,-9.470262
30630512,30629705,0.12296134,0.121645324,-9.906384
30673692,30673368,0.082560115,-0.04367185,-9.585238
30730388,30729467,0.061301384,-0.06876249,-9.643858
30778279,30777275,0.10292984,0.043681648,-9.598311
30829680,30829356,-0.20213592,0.13953196,-9.806874
30882136,30881362,-0.09038437,-0.08838455,-9.393169
30930325,30929533,-0.017804477,-0.070033394,-9.625986
30978163,30977381,-0.13738109,-0.061078206,-9.300645
31026438,31025536,-0.11674126,-0.06832919,-9.522467
31077823,31077498,0.016316386,-0.10619386,-9.800015
31130469,31129675,-0.16471963,-0.076580465,-9.724852
31177500,31177179,0.092487,-0.092884414,-9.86419
31230327,31229532,-0.24221541,-0.07853797,-9.774357
31278125,31277337,-0.12887506,0.07639052,-9.737186
31329499,31329125,0.012219507,-0.20831919,-9.86667
31382185,31381395,-0.13204646,-0.040882595,-9.763526
31430226,31429433,-0.055808943,-0.08280573,-9.880674
31477959,31477495,-0.15605018,-0.047719076,-9.778705
31529855,31529532,-0.17789683,-0.033306606,-9.980832
31581912,31581545,-0.0019352849,-0.2918937,-9.776552
31629934,31629608,-0.15949903,-0.15033098,-9.731824
31677916,31677593,-0.13351613,-0.054920375,-9.561772
31725648,31725280,-0.19272985,0.02131955,-9.609367
31777643,31777313,-0.146552,0.03560121,-9.877304
31829690,31829366,-0.07454341,-0.14910546,-9.60922
31877461,31877140,-0.20078695,0.15145692,-9.734614
31929827,31929504,-0.31908688,0.050364442,-10.047296
31977824,31977501,-0.18910503,-0.046228115,-9.414712
32030028,32029708,-0.09293778,-0.021786198,-9.799619
32081842,32081518,-0.07325849,-0.14588316,-9.841947
32130299,32129498,0.07001513,-0.13524361,-9.893087
32178134,32177814,-0.027040793,-0.057241973,-9.840192
32229372,32229036,-0.069206074,-0.018476475,-9.686688
32281951,32281628,-0.06948779,-0.0128329145,-9.744601
32330213,32329419,-0.078024775,-0.2440857,-9.602528
32377944,32377599,-0.1416543,-0.098782495,-9.832896
32425485,32425162,-0.02485764,-0.046582304,-9.77988
32481966,32481641,-0.22733052,-0.040653545,-9.345031
32529946,32529622,-0.01323562,0.039835926,-10.054581
32577771,32577438,-0.05110839,-0.071351476,-9.688723
32629850,32629518,-0.095665544,-0.23462942,-9.886446
32677571,32677252,-0.11527252,0.002916947,-9.781646
32729191,32728390,0.116553925,-0.25643784,-9.811912
32782180,32781734,-0.016451204,-0.08918645,-9.7572365
32830394,32829538,-0.03725463,0.020064369,-9.613729
32877610,32877287,-0.12775494,-0.19452757,-9.740088
32925826,32925495,-0.010813895,-0.02662835,-9.751861
32982097,32981777,-0.19939768,0.12874058,-9.671
33026387,33025589,0.010601458,-0.009451959,-9.903884
33074192,33073864,0.06192396,0.20508736,-9.953765
33126419,33125395,0.0754088,0.0032560553,-9.826837
33182066,33181748,-0.21200734,-0.17307451,-9.811458
33225402,33225038,-0.0073779523,0.020902602,-9.922373
33274357,33273941,-0.024812559,-0.030595757,-10.279634
33332013,33330974,-0.043321427,-0.30752984,-9.811943
33378615,33377677,-0.13347025,-0.040205564,-9.778039
33430144,33429667,0.09514345,0.0007030727,-9.8475275
33482353,33481613,0.08218023,-0.064362444,-9.799476
33530572,33529767,0.015749391,-0.14544187,-9.77112
33578691,33578254,0.0823435,0.056151383,-9.617011
33629833,33629005,-0.14808108,0.00086917216,-9.848344
33678997,33678126,0.0742531,-0.061916668,-9.639828
33730566,33729614,-0.13430388,-0.18439965,-9.708853
33778227,33777394,-0.037317462,-0.020442957,-9.585485
33825975,33825538,0.21734385,-0.060840752,-9.800752
33878664,33877922,-0.0043630637,-0.024321973,-9.904732
33929963,33929491,-0.22330177,0.016985418,-10.089558
33978519,33977785,0.055151764,-0.13583341,-9.972458
34030212,34029282,0.1212978,-0.090756975,-9.598931
34078572,34077628,0.109539114,0.05084606,-10.020959
34130259,34129506,-0.14451061,-0.25888488,-9.853768
34182213,34181788,0.009570675,-0.23122483,-9.864518
34229667,34229235,-0.19805962,-0.11675127,-9.836711
34275733,34275303,-0.09198762,0.0010359667,-9.805439
34330030,34329586,-0.29324913,-0.20416856,-9.954166
34381970,34381140,0.122700036,-0.030573135,-9.802215
34430323,34429504,0.01865838,-0.15060478,-9.791672
34477875,34477396,0.04845375,-0.03720615,-9.691144
34529550,34529117,-0.15045409,-0.16010387,-9.808873
34578269,34577842,0.03531308,-0.11411375,-9.789941
34631000,34630123,-0.13475145,-0.027483433,-10.08509
34678179,34677613,-0.13491708,0.20701267,-9.574164
34730365,34729603,-0.08578672,0.036255725,-9.922328
34777771,34777335,-0.18038273,0.040559385,-9.614959
34830487,34829569,-0.1390559,0.12974203,-10.109794
34882299,34881820,-0.13002792,0.11284596,-9.78078
34930119,34929626,0.11319456,0.016463004,-9.784532
34978216,34977613,-0.1099557,-0.097305305,-9.664848
35029743,35029308,-0.20464912,0.17140637,-9.3444395
35082113,35081688,-0.2806134,-0.021579234,-9.861115
35129811,35129367,-0.018182075,0.009762576,-9.64887
35178297,35177831,0.031807657,-0.12277207,-9.899756
35230440,35229959,-0.11029026,-0.012799338,-10.137526
35278208,35277721,0.14649725,0.0882734,-9.834464
35330043,35329608,-0.09364017,-0.061899457,-9.48883
35377749,35377317,-0.047604527,0.019684615,-10.049492
35430139,35429673,0.043108914,0.015221293,-9.852725
35478059,35477628,-0.16254379,-0.10306196,-10.1571245
35529926,35529493,-0.022806661,-0.05817551,-9.724118
35581949,35581520,0.07381259,0.09497394,-9.794841
35630161,35629695,-0.12730207,0.007328231,-9.633818
35678298,35677859,0.08322294,0.049170267,-9.643256
35730083,35729659,0.13256298,-0.14080013,-9.910444
35782450,35781973,0.16518651,0.011431254,-9.679316
35829921,35829451,-0.11550135,-0.07036744,-9.58804
35878017,35877582,0.02964234,-0.0041229217,-9.797476
35930761,35929885,0.18008891,-0.066697784,-9.54979
35977983,35977547,-0.10193137,-0.05128582,-9.740294
36030611,36029859,0.018352423,-0.110792235,-9.965135
36077920,36077486,-0.18242633,-0.043315604,-9.648346
36130348,36129868,0.24883738,0.011918928,-9.812685
36177843,36177404,-0.10765084,-0.11071124,-10.124985
36226712,36225722,0.09651466,-0.18487558,-9.796188
36278541,36278107,-0.015303831,0.111505434,-9.7197275
36330461,36329710,0.070543416,0.07672762,-9.624681
36378248,36377820,-0.009986595,-0.104536355,-9.653007
36427562,36426997,-0.22518934,-0.09121303,-9.943657
36482365,36481603,-0.052678544,-0.32852122,-9.875244
36530619,36529748,-0.14441182,-0.02317364,-9.797788
36574573,36573475,-0.076134644,-0.037772343,-9.687562
36630816,36629892,0.00086003647,0.10082653,-9.857538
36681973,36681542,-0.041685805,-0.034463275,-9.787523
36729994,36729562,0.07616192,-0.07388131,-9.848658
36778201,36777707,-0.07075502,-0.03189403,-9.872474
36830326,36829889,-0.049438756,-0.12167175,-9.574745
36878089,36877647,0.0237336,-0.20846863,-9.767674
