timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
26274302,0.0,0.0,0.0,0.0
26280867,0.0,0.0,0.0,0.0
26477257,0.0,0.0,0.0,0.0
26677857,0.0,0.0,0.0,0.0
26877462,0.0,0.0,0.0,0.0
27077279,0.0,0.0,0.0,0.0
27277360,0.0,0.0,0.0,0.0
27473579,0.0,0.0,0.0,0.0
27676861,0.0,0.0,0.0,0.0
27877587,0.0,0.0,0.0,0.0
28077411,0.0,0.0,0.0,0.0
28277766,0.0,0.0,0.0,0.0
28477319,0.0,0.0,0.0,0.0
28677372,0.0,0.0,0.0,0.0
28873492,0.0,0.0,0.0,0.0
29077078,0.0,0.0,0.0,0.0
29277434,0.0,0.0,0.0,0.0
29477398,0.0,0.0,0.0,0.0
29664661,0.0,0.0,0.0,0.0
29877494,0.0,0.0,0.0,0.0
30073496,0.0,0.0,0.0,0.0
30276332,0.0,0.0,0.0,0.0
30473501,0.0,0.0,0.0,0.0
30673412,0.0,0.0,0.0,0.0
30877390,0.0,0.0,0.0,0.0
31077542,0.0,0.0,0.0,0.0
31277380,0.0,0.0,0.0,0.0
31477538,0.0,0.0,0.0,0.0
31673841,0.0,0.0,0.0,0.0
31873781,0.0,0.0,0.0,0.0
32077555,0.0,0.0,0.0,0.0
32277678,0.0,0.0,0.0,0.0
32477563,0.0,0.0,0.0,0.0
32677296,0.0,0.0,0.0,0.0
32877330,0.0,0.0,0.0,0.0
33073908,0.0,0.0,0.0,0.0
33273986,0.0,0.0,0.0,0.0
33477534,0.0,0.0,0.0,0.0
33678170,0.0,0.0,0.0,0.0
33877967,0.0,0.0,0.0,0.0
34077676,0.0,0.0,0.0,0.0
34275347,0.0,0.0,0.0,0.0
34473718,0.0,0.0,0.0,0.0
34677663,0.0,0.0,0.0,0.0
34877858,0.0,0.0,0.0,0.0
35077737,0.0,0.0,0.0,0.0
35277767,0.0,0.0,0.0,0.0
35477677,0.0,0.0,0.0,0.0
35673254,0.0,0.0,0.0,0.0
35873337,0.0,0.0,0.0,0.0
36077530,0.0,0.0,0.0,0.0
36278152,0.0,0.0,0.0,0.0
36477543,0.0,0.0,0.0,0.0
36677640,0.0,0.0,0.0,0.0
36877702,0.0,0.0,0.0,0.0
37074104,0.0,0.0,0.0,0.0
37274668,0.0,0.0,0.0,0.0
37477800,0.0,0.0,0.0,0.0
37677622,0.0,0.0,0.0,0.0
37877540,0.0,0.0,0.0,0.0
38077676,0.0,0.0,0.0,0.0
38277540,0.0,0.0,0.0,0.0
38473663,0.0,0.0,0.0,0.0
38674186,0.0,0.0,0.0,0.0
38877835,0.0,0.0,0.0,0.0
39077728,0.0,0.0,0.0,0.0
39277239,0.0,0.0,0.0,0.0
39478045,0.0,0.0,0.0,0.0
39677719,0.0,0.0,0.0,0.0
39877728,0.0,0.0,0.0,0.0
40073983,0.0,0.0,0.0,0.0
40277760,0.0,0.0,0.0,0.0
40478091,0.0,0.0,0.0,0.0
40678188,0.0,0.0,0.0,0.0
40878090,0.0,0.0,0.0,0.0
41078007,0.0,0.0,0.0,0.0
41274371,0.0,0.0,0.0,0.0
41474251,0.0,0.0,0.0,0.0
41677873,0.0,0.0,0.0,0.0
41878016,0.0,0.0,0.0,0.0
42077353,0.0,0.0,0.0,0.0
42274708,0.0,0.0,0.0,0.0
42477774,0.0,0.0,0.0,0.0
42674031,0.0,0.0,0.0,0.0
42873953,0.0,0.0,0.0,0.0
43078241,0.0,0.0,0.0,0.0
43278183,0.0,0.0,0.0,0.0
43478190,0.0,0.0,0.0,0.0
43677427,0.0,0.0,0.0,0.0
43878050,0.0,0.0,0.0,0.0
44073955,0.0,0.0,0.0,0.0
44273941,0.0,0.0,0.0,0.0
44477916,0.0,0.0,0.0,0.0
44677490,0.0002687784,0.0013091612,-0.00012455754,0.0
44874022,0.0015886943,0.009699786,-0.0006291692,0.0
45078392,0.0035359398,0.017288245,-0.0008842302,0.0
45274390,0.0049232813,0.022179814,-0.0012942713,0.0
45474362,0.0060965107,0.025015278,-0.001525733,0.0
45674098,0.0062284702,0.024929473,-0.0015476908,0.0
45878099,0.006883213,0.022785198,-0.0013245847,0.0
46077992,0.007686625,0.019562105,-0.0013873529,0.0
46278756,0.00812301,0.015067559,-0.0017232258,0.0
46477442,0.008406685,0.010545141,-0.002113431,0.0
46674051,0.008473771,0.0070268093,-0.0021391646,0.0
46874473,0.0092415335,0.003914892,-0.0020312823,0.0
47074175,0.007478064,0.002495034,-0.0019692513,0.0
47278252,0.0051608,0.0026228991,-0.0016702322,0.0
47478477,0.0045539294,0.0020283835,-0.0013767262,0.0
47678353,0.0037027125,0.001264943,-0.0010761791,0.0
47878217,0.0025552989,0.00033276153,-0.0010660272,0.0
48078195,0.0024184203,0.0008436582,-0.00062402716,0.0
48274575,0.0015588434,0.00038287108,-0.0009762842,0.0
48474433,0.0015412599,0.00030683418,-0.0008412506,0.0
48679006,0.001363578,0.0001795411,-0.0009991524,0.0
48878088,0.0003979526,0.00085242774,-0.001289495,0.0
49074414,0.0008098552,0.0001038135,0.00078119594,0.0
49278618,9.2593e-06,0.00045903205,9.709842e-05,0.0
49473949,0.00028159728,-0.0003449396,-0.0005394837,0.0
49674659,0.0013496476,0.00032471592,-0.00086457114,0.0
49873952,-0.00011317129,0.0008053695,-0.0010024245,0.0
50078508,-0.00041264977,0.00061071815,-0.0007470829,0.0
50278970,-0.00026945415,0.0006604368,-0.00028023365,0.0
50478523,0.00017169885,0.00038620413,-5.883605e-05,0.0
50678451,0.00018432939,0.00024719542,-0.0003713794,0.0
50874483,0.0003995806,0.00059954857,-0.0003772531,0.0
51074490,-0.00021514772,-0.0005865565,-0.0010720603,0.0
51274660,7.42521e-05,-0.0005358306,-0.0008671996,0.0
51478562,-0.00019372077,-0.0004224653,-0.00042866822,0.0
51678254,5.5613706e-05,-0.00045091356,-0.00036899533,0.0
51877863,-4.065848e-05,-0.0005291561,-0.0003542325,0.0
52074534,0.00015376418,-0.0009580266,-0.0007219982,0.0
52274716,-1.4258321e-05,0.00018119473,-0.00044000958,0.0
52474678,0.0006722226,9.749614e-05,-0.0003360347,0.0
52674551,0.00033702093,-7.93778e-05,-0.0005327315,0.0
52878319,0.00023503909,2.884968e-05,-0.00027182617,0.0
53078402,0.00033077894,-9.675768e-05,0.0001421638,0.0
53277707,-2.7711772e-05,-0.00028167327,0.00016530245,0.0
53478253,0.00069327507,0.0003129824,0.00025746756,0.0
53674415,0.00036279758,-1.2923574e-05,5.400503e-05,0.0
53874499,0.0010379856,-0.00013592024,0.00011926635,0.0
54074221,1.9259853e-05,1.9626215e-05,-0.00031774316,0.0
54277890,0.00044176588,5.7990816e-05,-0.00027583956,0.0
54478512,-0.0005942308,0.00027302216,9.230497e-06,0.0
54678746,-0.0001081297,-0.00065048924,-0.00019548148,0.0
54878443,0.0005218865,-0.00023563959,-4.845528e-05,0.0
55074703,0.0008240589,0.0004382754,0.00045660255,0.0
55271810,-0.00022045529,-0.00015097199,0.00048162957,0.0
55474950,0.0006035714,-0.00043181574,5.7490233e-05,0.0
55678433,0.0011181547,0.000408653,0.00011127798,0.0
55878671,-0.0001787753,-0.00076836825,6.528079e-05,0.0
56078844,0.00032968784,0.0002356288,-2.981801e-05,0.0
56278417,0.00085362245,-0.00023474106,5.5263326e-06,0.0
56477922,-0.00077702035,-0.0003044645,-0.000121057456,0.0
56674823,0.0009169839,-0.0004193537,6.127322e-05,0.0
56874919,-0.0006563892,-3.4814188e-05,-1.9756004e-05,0.0
57078466,0.0002694662,0.00010497855,0.00042018355,0.0
57278621,-0.00013493141,-0.0003563602,0.00022576773,0.0
57478284,0.00013561525,0.00061638094,4.738546e-05,0.0
57674937,5.484113e-05,-1.7401495e-05,0.00014469736,0.0
57874935,-0.00033188993,-0.00023293139,-0.00014752065,0.0
58074803,0.0013865266,-2.9607174e-05,-7.07887e-05,0.0
58274770,0.00040636313,8.015086e-05,-0.00033296546,0.0
58478674,0.00021695861,0.00033576944,0.00018883725,0.0
