timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
25694784,25694487,1310988,-0.045921404,0.13622764,-9.821605,25.0,0,0,0,0,1
25700111,25700082,1310988,0.05831177,-0.12918438,-9.435847,25.0,0,0,0,0,1
26665290,26664806,1310988,-0.15816855,-0.06192062,-9.954287,25.0,0,0,0,0,1
27665614,27664827,1310988,-0.087757416,-0.31518778,-10.023665,25.0,0,0,0,0,1
28674296,28673428,1310988,-0.17960212,0.052275985,-10.081637,25.0,0,0,0,0,1
29629339,29628873,1310988,-0.32852545,-0.08698,-9.964122,25.0,0,0,0,0,1
30649628,30649330,1310988,-0.09469343,-0.13873264,-9.362829,25.0,0,0,0,0,1
31670721,31669766,1310988,0.13921347,-0.30582532,-9.587961,25.0,0,0,0,0,1
32674446,32673577,1310988,-0.70640475,-0.033514947,-9.601722,25.0,0,0,0,0,1
33665951,33665533,1310988,-0.095406555,-0.10666194,-9.736008,25.0,0,0,0,0,1
34670707,34669846,1310988,-0.1067398,0.30303645,-9.527384,25.0,0,0,0,0,1
35669597,35669168,1310988,0.044048782,-0.020495052,-9.585345,25.0,0,0,0,0,1
36674156,36673737,1310988,-0.22642045,-0.24740046,-9.487708,25.0,0,0,0,0,1
37670837,37669856,1310988,-0.055486996,0.022845453,-9.969233,25.0,0,0,0,0,1
38670506,38669960,1310988,0.24367867,0.0019317963,-10.243951,25.0,0,0,0,0,1
39670742,39669764,1310988,-0.37039834,-0.02509467,-9.4717865,25.0,0,0,0,0,1
40670609,40670177,1310988,0.34503132,-0.2168494,-8.8708725,25.0,0,0,0,0,1
41662165,41661684,1310988,0.15338622,-0.12204258,-9.546915,25.0,0,0,0,0,1
42670456,42670013,1310988,0.08955036,-0.03921105,-9.982032,25.0,0,0,0,0,1
43670188,43669795,1310988,0.041369107,-0.36089775,-9.827352,25.0,0,0,0,0,1
44670964,44669911,1310988,0.044188112,0.16648562,-9.217982,25.0,0,0,0,0,1
45666274,45665882,1310988,-0.25127888,0.27689004,-9.711841,25.0,0,0,0,0,1
46671158,46669923,1310988,0.05480428,-0.11666049,-11.054405,25.0,0,0,0,0,1
47669893,47669484,1310988,0.14872974,0.10673726,-10.786736,25.0,0,0,0,0,1
48670286,48669834,1310988,-0.42261863,-0.053236697,-10.297847,25.0,0,0,0,0,1
49670834,49670320,1310988,0.0013946686,0.0127205225,-10.127478,25.0,0,0,0,0,1
50675487,50674573,1310988,0.18987885,-0.29427162,-10.219881,25.0,0,0,0,0,1
51670306,51669860,1310988,-0.39990216,0.05649818,-9.456621,25.0,0,0,0,0,1
52670798,52670390,1310988,-0.27022997,0.01149328,-9.713612,25.0,0,0,0,0,1
53671385,53670218,1310988,-0.49680892,-0.21299535,-9.33887,25.0,0,0,0,0,1
54662641,54662205,1310988,-0.050970957,-0.15101452,-9.730644,25.0,0,0,0,0,1
55670667,55670260,1310988,-0.0014614187,-0.032087605,-10.605211,25.0,0,0,0,0,1
56671209,56670658,1310988,-0.17734529,-0.1739652,-9.472617,25.0,0,0,0,0,1
57671626,57670744,1310988,-0.073502444,0.12967305,-10.258273,25.0,0,0,0,0,1
58666674,58666278,1310988,-0.13646923,-0.13462007,-9.638134,25.0,0,0,0,0,1
59666402,59666011,1310988,-0.26568294,-0.0668924,-9.528856,25.0,0,0,0,0,1
60667913,60666722,1310988,-0.12832128,-0.05123635,-9.598376,25.0,0,0,0,0,1
61670590,61670156,1310988,-0.045348637,-0.5103199,-9.524085,25.0,0,0,0,0,1
62670553,62670158,1310988,-0.34026495,0.33509392,-9.055652,25.0,0,0,0,0,1
63666955,63666561,1310988,0.010707859,0.05952857,-9.370329,25.0,0,0,0,0,1
64667973,64667091,1310988,-0.22128515,-0.24998303,-9.31977,25.0,0,0,0,0,1
65672040,65671000,1310988,-0.3171132,-0.13610472,-10.128682,25.0,0,0,0,0,1
66671058,66670647,1310988,-0.42152956,-0.02960563,-9.682868,25.0,0,0,0,0,1
67671482,67670485,1310988,-0.41997862,0.2927263,-9.22528,25.0,0,0,0,0,1
68671640,68670563,1310988,-0.05494573,-0.12475062,-9.438365,25.0,0,0,0,0,1
69671032,69670636,1310988,-0.29244325,-0.115671374,-9.570697,25.0,0,0,0,0,1
70671717,70671315,1310988,-0.4379737,0.13854608,-9.705708,25.0,0,0,0,0,1
71670913,71670477,1310988,-0.42604646,0.27444357,-9.466223,25.0,0,0,0,0,1
72671199,72670806,1310988,-0.29947996,0.41383392,-10.230957,25.0,0,0,0,0,1
73671706,73671307,1310988,-0.8053188,-0.03661374,-10.499401,25.0,0,0,0,0,1
74673458,74671126,1310988,-1.0701885,0.08651584,-9.791288,25.0,0,0,0,0,1
75671830,75671384,1310988,-1.2935072,0.016910367,-9.911764,25.0,0,0,0,0,1
76671566,76671150,1310988,-1.2113795,-0.04382904,-10.066826,25.0,0,0,0,0,1
77671750,77670804,1310988,-1.2879317,0.4630002,-8.90543,25.0,0,0,0,0,1
78671348,78670950,1310988,-1.4151937,-0.12005948,-9.861487,25.0,0,0,0,0,1
79671374,79670935,1310988,-0.8966526,-0.28823748,-9.2344475,25.0,0,0,0,0,1
80672456,80671577,1310988,-1.2339982,-0.101248026,-10.0354595,25.0,0,0,0,0,1
81672143,81671746,1310988,-1.4882137,0.030355142,-9.992943,25.0,0,0,0,0,1
82667254,82666860,1310988,-1.0497652,-0.16866763,-9.49912,25.0,0,0,0,0,1
83672305,83671843,1310988,-1.3218696,-0.0937304,-9.864591,25.0,0,0,0,0,1
84671951,84671552,1310988,-1.6000768,0.1214008,-9.199641,25.0,0,0,0,0,1
85667924,85667514,1310988,-1.1665258,-0.3155611,-9.434611,25.0,0,0,0,0,1
86672081,86671007,1310988,-1.4707642,-0.30543557,-9.3924675,25.0,0,0,0,0,1
87672452,87671485,1310988,-0.869443,0.008971546,-9.154165,25.0,0,0,0,0,1
88671797,88671399,1310988,-1.1632792,0.017894687,-9.518356,25.0,0,0,0,0,1
89660318,89659925,1310988,-1.3035913,0.18872815,-9.276867,25.0,0,0,0,0,1
90671905,90671500,1310988,-1.5180004,0.012083147,-9.085981,25.0,0,0,0,0,1
91672932,91671999,1310988,-1.4523073,-0.16011481,-9.2664585,25.0,0,0,0,0,1
92660017,92659580,1310988,-0.6212224,0.101736575,-9.418389,25.0,0,0,0,0,1
93672431,93672002,1310988,-1.0581998,-0.0754102,-9.049449,25.0,0,0,0,0,1
94672137,94671692,1310988,-1.0869051,0.11031861,-9.352067,25.0,0,0,0,0,1
