timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
30194811,30194144,1.1216111e-07,0.0004824145,0.028486382,0.001087765,0.032035235,0.048747126,512,0,0.5783374,0.76203007,0.0,nan,nan,0.02571189,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
30401926,30401320,8.94693e-08,0.00045503033,0.031602733,0.0005531583,0.0257837,0.04301643,512,0,0.6098792,0.76862776,0.0,nan,nan,0.00059886614,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
30597381,30596775,8.0766696e-08,0.0004119563,0.022324657,0.001059343,0.011654621,0.013038627,512,0,0.66659516,0.79606104,0.0,nan,nan,0.009769201,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
30801393,30800786,8.032767e-08,0.00039067437,0.0196178,0.00089409796,0.017376686,0.02335271,512,0,0.64340895,0.80866015,0.0,nan,nan,0.021285329,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
30994288,30993677,7.9589924e-08,0.00038343394,0.014295369,0.00064380246,0.016064875,0.021103527,512,0,0.6411018,0.82321215,0.0,nan,nan,0.014098842,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
31202280,31201609,7.276383e-08,0.0003606999,0.009477599,0.0007966381,0.02064852,0.033481162,512,0,0.6053526,0.819684,0.0,nan,nan,0.021355653,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
31401612,31401007,8.158879e-08,0.00036162976,0.007836945,0.0007684878,0.012999175,0.018983275,512,0,0.58116776,0.831055,0.0,nan,nan,0.0048334207,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
31602443,31601828,7.723228e-08,0.00034044983,0.0060303267,0.000715345,0.011505234,0.018360596,512,0,0.5602467,0.8139364,0.0,nan,nan,0.013637418,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
31793695,31793083,7.8627565e-08,0.00034650022,0.006673362,0.0006694854,0.0097385375,0.019077016,512,0,0.5421412,0.79376495,0.0,nan,nan,0.009945744,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
31994336,31993731,7.932328e-08,0.00034597382,0.0063336557,0.0005451718,0.005061009,0.012626086,512,0,0.5364093,0.778028,0.0,nan,nan,0.0033901162,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
32202396,32201716,8.119514e-08,0.00034642415,0.005225264,0.00053749775,0.00731184,0.017749283,512,0,0.52930295,0.7635847,0.0,nan,nan,0.019974027,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
32398408,32397719,9.340314e-08,0.00035962078,0.0055568377,0.00095269096,0.012805577,0.01574962,512,0,0.5242682,0.7512238,0.0,nan,nan,0.01103665,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
32602402,32601732,7.844213e-08,0.00033029576,0.0046392963,0.0013003463,0.01900974,0.016146664,512,0,0.522872,0.7431535,0.0,nan,nan,0.0079932865,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
32798164,32797542,7.755917e-08,0.00032899986,0.0074147056,0.0014819959,0.023918534,0.021436317,512,0,0.5023308,0.74465114,0.0,nan,nan,0.012825164,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
33002472,33001870,8.410396e-08,0.0003448909,0.006061378,0.0015212554,0.024477765,0.023324022,512,0,0.5090386,0.7430411,0.0,nan,nan,0.015650246,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
33194179,33193572,8.156351e-08,0.00036814532,0.0073319604,0.0015789185,0.025659682,0.026600575,512,0,0.49630103,0.7342307,0.0,nan,nan,0.015732259,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
33402345,33401659,1.16942374e-07,0.0004639344,0.021531768,0.003266227,0.028509878,0.028602827,531,0,0.45798022,0.7380647,0.052724894,nan,nan,0.019683927,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
33602311,33601609,1.0860325e-07,0.0004393119,0.017793559,0.0012603084,0.027337512,0.03085554,531,0,0.46362787,0.71516657,0.07050999,nan,nan,0.006415671,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
33798392,33797691,9.877143e-08,0.00041433817,0.014649069,0.0024283172,0.02463312,0.031582955,531,0,0.4533596,0.73368895,0.026946459,nan,nan,0.012513277,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
