timestamp,main_state_changes,main_state
1685302,0,0
2188366,0,0
2695307,0,0
3202307,0,0
3709309,0,0
4216339,0,0
4723307,0,0
5230310,0,0
5737309,0,0
6244306,0,0
6751307,0,0
7258308,0,0
7765372,0,0
8272307,0,0
8779308,0,0
9286308,0,0
9793307,0,0
10300310,0,0
10807307,0,0
11314311,0,0
11821309,0,0
12328311,0,0
12835310,0,0
13342368,0,0
13849307,0,0
14356308,0,0
14863312,0,0
15370306,0,0
15877308,0,0
16384308,0,0
16891307,0,0
17398307,0,0
17905308,0,0
18412312,0,0
18919367,0,0
19426311,0,0
19933311,0,0
20440307,0,0
20947309,0,0
21454307,0,0
21961309,0,0
22468339,0,0
22975308,0,0
23482307,0,0
23989307,0,0
24496447,0,0
24685351,0,0
25192308,0,0
25688315,0,0
25701523,0,0
26212316,0,0
26720320,0,0
27229318,0,0
27730321,0,0
28238319,0,0
28740318,0,0
29241347,0,0
29742363,0,0
30254067,0,0
30761319,0,0
31265318,0,0
31775365,0,0
32284318,0,0
32793948,0,0
33304320,0,0
33812367,0,0
34323360,0,0
34831345,0,0
35340359,0,0
35850330,0,0
36359329,0,0
36866625,0,0
37375389,0,0
37751373,1,4
38260358,1,4
38770383,1,4
39279378,1,4
39788342,1,4
40299327,1,4
40808362,1,4
41309369,1,4
41688338,2,3
42189361,2,3
42691327,2,3
42825494,2,3
42836341,2,3
43343334,2,3
43850910,2,3
44361372,2,3
44872370,2,3
45381330,2,3
45891330,2,3
46391376,2,3
46901358,2,3
47408383,2,3
47918758,2,3
48427488,2,3
48936331,2,3
49436404,2,3
49947376,2,3
50447497,2,3
50959714,2,3
51468383,2,3
51979837,2,3
52487330,2,3
52995512,2,3
53503375,2,3
54012328,2,3
54518374,2,3
55026330,2,3
55526365,2,3
56035479,2,3
56544331,2,3
57050330,2,3
57559333,2,3
58067370,2,3
58573331,2,3
59080330,2,3
59589335,2,3
60096330,2,3
60604516,2,3
61111497,2,3
61618330,2,3
62124364,2,3
62631884,2,3
63140330,2,3
63648332,2,3
64156339,2,3
