timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
78747699,78746693,40.15429520659438,116.25941612857024,99.59924,99.70447,-0.0,0.34173036,0.52033204,nan,2,0,0,0
79752124,79751456,40.15434061450394,116.25942258955234,99.63447,99.73742,-0.0,0.34235492,0.52018654,nan,2,0,0,0
80756226,80755480,40.15438567835494,116.25942777100396,99.629776,99.72727,-0.0,0.34524226,0.5212899,nan,2,0,0,0
81756571,81755684,40.154430048909994,116.25942874027761,99.61279,99.70372,-0.0,0.34202367,0.5204898,nan,2,0,0,0
82752346,82751661,40.15447395118215,116.2594308180956,99.593506,99.67359,-0.0,0.34483236,0.5215617,nan,2,0,0,0
83756136,83755241,40.15451848764183,116.2594337485685,99.58719,99.661606,-0.0,0.34178883,0.5207777,nan,2,0,0,0
84756792,84755830,40.15456324784772,116.25943676101217,99.5986,99.66298,-0.0,0.34173387,0.51995784,nan,2,0,0,0
85756122,85755210,40.15460839365676,116.25944083099337,99.61496,99.668175,-0.0,0.34145254,0.51983637,nan,2,0,0,0
86756001,86755300,40.15465373586966,116.2594451063208,99.61542,99.65565,-0.0,0.34475416,0.5212809,nan,2,0,0,0
87752535,87751971,40.154699027103774,116.25944839649746,99.64021,99.67327,-0.0,0.3447709,0.5214974,nan,2,0,0,0
88752450,88751881,40.154743742265154,116.2594511653191,99.64264,99.66666,-0.0,0.34459168,0.5216728,nan,2,0,0,0
89748651,89747964,40.15478803669307,116.25945357256124,99.6487,99.663956,-0.0,0.3443054,0.52181244,nan,2,0,0,0
90752746,90751993,40.15483308270536,116.25945615005357,99.67488,99.68206,-0.0,0.3439569,0.5209145,nan,2,0,0,0
91752155,91751471,40.15487779656262,116.25945928214092,99.69238,99.69371,-0.0,0.34377292,0.5210155,nan,2,0,0,0
92752399,92751818,40.154922507675515,116.25946214772283,99.71105,99.71203,-0.0,0.3435662,0.5211133,nan,2,0,0,0
93752416,93751854,40.154967303662744,116.2594645384724,99.696335,99.698555,-0.0,0.3434121,0.5212332,nan,2,0,0,0
94755974,94755406,40.155012369435404,116.25946696501077,99.70128,99.70397,-0.0,0.34337187,0.5213567,nan,2,0,0,0
95757252,95756618,40.15505738182658,116.2594701655762,99.68571,99.69109,-0.0,0.34372026,0.52082974,nan,2,0,0,0
96748894,96748326,40.155098341122944,116.25947314310137,99.67095,99.67782,-0.0,0.3433119,0.5215698,nan,2,0,0,0
