timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
27200713,27197105,0,nan,nan,-5.0406993e-07,-1.7028932e-06,4.1031926e-06,0.0,0.0,0.0,-1.5677026e-06,-0.00010106749,0.001431596,0.0014372992,-0.0002206875,-0.00063521357,0.0,0.041964382,0.10151516,0.2638398,-0.03195262,-0.031950478,nan,0.10001213,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
27209479,27208827,0,nan,nan,1.0255589e-05,8.148216e-06,1.3787396e-05,0.0,0.0,0.0,0.0018954985,0.001828949,-0.00021714428,-0.00020331345,-0.0002206875,-0.00063521357,0.0,0.11449709,0.18738015,-0.14835225,-0.032238845,-0.031950478,nan,0.100037694,0.7097526,3.5000114,7.0710893,0.45004517,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
27297984,27297280,0,nan,nan,0.00022719077,0.00012169027,-0.026790196,0.0,0.0,0.0,0.0036316812,0.002153948,0.002641946,-0.023287795,-0.0002206875,-0.00063521357,0.0,-0.0536763,-0.04751457,0.30291566,-0.031471174,-0.031950478,nan,0.1,0.95067585,2.0208514,7.072636,0.45056164,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
27402123,27401302,0,nan,nan,0.00063316076,0.00028930182,-0.072972424,0.0,0.0,0.0,0.003205155,-0.0028480222,0.020393252,-0.049156584,-0.0002206875,-0.00063521357,0.0,-0.20710862,-0.1409035,0.46260977,-0.032467954,-0.031950478,nan,0.1,0.63604784,1.5657965,4.371327,0.45177317,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
27494128,27493465,0,nan,nan,0.0012170989,-0.0003237379,-0.09472794,0.0,0.0,0.0,0.010519549,-0.011322928,0.038259942,-0.050273746,-0.0002206875,-0.00063521357,0.0,0.06628141,0.095375575,-0.045937873,-0.032872066,-0.031950478,nan,0.1,0.89562434,1.4304363,4.379083,0.45344418,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
27594380,27593653,0,nan,nan,0.0018813991,-0.0019259325,-0.11003494,0.0,0.0,0.0,0.0027710858,-0.022967832,0.0530693,-0.046209946,-0.0002206875,-0.00063521357,0.0,-0.18769157,-0.1382771,0.27188894,-0.03236297,-0.031950478,nan,0.1,1.2826762,1.169503,4.394437,0.45606056,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
27695051,27694314,0,nan,nan,0.0018255136,-0.0046592006,-0.12454556,0.0,0.0,0.0,0.0058528623,-0.034467466,0.06573099,-0.04399333,-0.0002206875,-0.00063521357,0.0,0.04882287,-0.27035296,-0.5108958,-0.034466438,-0.031950478,nan,0.1,0.81054384,1.0605949,2.567843,0.45944986,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
27801941,27801290,0,nan,nan,0.002359736,-0.00849882,-0.13272843,0.0,0.0,0.0,0.0074171736,-0.04046616,0.07642594,-0.03834386,-0.0002206875,-0.00063521357,0.0,-0.12777118,-0.01684709,0.12249321,-0.035355177,-0.031950478,nan,0.1,1.040003,1.0201161,2.59847,0.46378043,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
27898075,27897419,0,nan,nan,0.003061414,-0.011394168,-0.13984218,0.0,0.0,0.0,0.019108903,-0.044956923,0.08180845,-0.03738246,-0.0002206875,-0.00063521357,0.0,0.12931208,0.054018762,0.09091764,-0.036329716,-0.031950478,nan,0.1,0.6999555,0.9489615,1.7296563,0.4678461,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
28002280,28001562,0,nan,nan,0.004789245,-0.015878266,-0.14974938,0.0,0.0,0.0,0.02360824,-0.06383863,0.08943259,-0.03492546,-0.0002206875,-0.00063521357,0.0,0.22693922,-0.15424775,0.013834812,-0.038018562,-0.031950478,nan,0.1,0.8674861,0.8671156,1.8065224,0.47292757,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
28094132,28093472,0,nan,nan,0.0062711667,-0.019414123,-0.15519263,0.0,0.0,0.0,0.02423589,-0.068521164,0.100794315,-0.025753902,-0.0002206875,-0.00063521357,0.0,-0.058748532,-0.17679942,0.43810007,-0.037550848,-0.031950478,nan,0.1,0.6366365,0.85070014,1.3808002,0.47842348,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
28198239,28197568,0,nan,nan,0.007827892,-0.024247909,-0.15781012,0.0,0.0,0.0,0.021566693,-0.0724852,0.11841144,-0.007709267,-0.0002206875,-0.00063521357,0.0,-0.05336758,0.12050496,0.045297466,-0.035211388,-0.031950478,nan,0.1,0.76703846,0.817415,1.502168,0.4849553,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
28300063,28299331,0,nan,nan,0.008660218,-0.027184978,-0.1567373,0.0,0.0,0.0,0.024709279,-0.07393593,0.12677525,0.0017835528,-0.0002206875,-0.00063521357,0.0,-0.09976933,-0.22838739,-0.28339288,-0.035135794,-0.031950478,nan,0.1,0.5914568,0.78841484,1.2739575,0.49005792,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
28394513,28393842,0,nan,nan,0.010124396,-0.03088854,-0.15533583,0.0,0.0,0.0,0.027684862,-0.07987495,0.13424207,0.010996337,-0.0002206875,-0.00063521357,0.0,-0.16506982,-0.4832907,0.18263096,-0.035002526,-0.031950478,nan,0.1,0.6966571,0.7665453,1.4252732,0.49606016,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
28502011,28501369,0,nan,nan,0.011279365,-0.03314294,-0.15090242,0.0,0.0,0.0,0.03551448,-0.081113495,0.14463855,0.02497581,-0.0002206875,-0.00063521357,0.0,0.030363636,0.15495755,-0.085383035,-0.036078814,-0.031950478,nan,0.1,0.5815708,0.75148386,1.3316385,0.503054,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
28594241,28593497,0,nan,nan,0.013318381,-0.03581207,-0.14470585,0.0,0.0,0.0,0.043923277,-0.08007912,0.15564874,0.039927002,-0.0002206875,-0.00063521357,0.0,-0.05103649,0.087206,0.053800657,-0.036531925,-0.031950478,nan,0.1,0.6798933,0.7364858,1.4904025,0.5079842,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
