timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
26050005,26049105,-0.006422083,0.0005872368,0.010118991,0.0,0.0,0.0,0.0,-1.0
26053264,26053205,-0.0016916302,-0.012634216,0.007509359,0.0,0.0,0.0,0.0,-1.0
26101160,26101114,0.025548525,0.018075373,-0.009224233,0.0,0.0,0.0,0.0,-1.0
26153040,26152993,0.029900618,0.00916546,0.01841092,0.0,0.0,0.0,0.0,-1.0
26200798,26200751,0.009935378,0.019804336,-0.0011420584,0.0,0.0,0.0,0.0,-1.0
26248871,26248810,0.021253822,0.010650022,-0.017994255,0.0,0.0,0.0,0.0,-1.0
26297406,26297360,-0.021019848,-0.020148085,0.0017619521,0.0,0.0,0.0,0.0,-1.0
26353741,26353682,-0.003100683,-0.026710391,-0.004884714,0.0,0.0,0.0,0.0,-1.0
26401267,26401217,-0.027464045,-0.0028325731,0.0040178513,0.0,0.0,0.0,0.0,-1.0
26449369,26449322,-0.00675735,0.0032440491,0.004333274,0.0,0.0,0.0,0.0,-1.0
26500945,26500898,0.0052122544,0.0009393485,0.0015877004,0.0,0.0,0.0,0.0,-1.0
26553134,26553088,-0.009574242,0.021654315,0.005981322,0.0,0.0,0.0,0.0,-1.0
26601446,26601400,0.01119356,0.04138506,0.003459025,0.0,0.0,0.0,0.0,-1.0
26649330,26649283,0.02022424,-0.013266854,-0.008288377,0.0,0.0,0.0,0.0,-1.0
26701545,26701499,0.00592172,0.020449368,-0.0071827024,0.0,0.0,0.0,0.0,-1.0
26749673,26749621,0.020713298,-0.021820834,-0.0028312912,0.0,0.0,0.0,0.0,-1.0
26800885,26800839,0.0053975475,0.014822115,0.0056787706,0.0,0.0,0.0,0.0,-1.0
26853356,26853309,-0.016766027,0.007749603,0.0035543812,0.0,0.0,0.0,0.0,-1.0
26901486,26901435,0.01954664,-0.016375702,-0.010462763,0.0,0.0,0.0,0.0,-1.0
26949729,26949683,-0.0015833795,0.0041082758,0.0069808112,0.0,0.0,0.0,0.0,-1.0
26997373,26997326,-0.013958633,0.006704594,-0.012780147,0.0,0.0,0.0,0.0,-1.0
27053410,27053363,-0.011144476,0.013800718,0.0055717584,0.0,0.0,0.0,0.0,-1.0
27101446,27101400,-0.0010128373,-0.008603767,-0.010672183,0.0,0.0,0.0,0.0,-1.0
27149161,27149114,-0.002639956,0.003437939,-0.007135208,0.0,0.0,0.0,0.0,-1.0
27197151,27197105,0.00044998995,-0.008427467,-0.00014283239,0.0,0.0,0.0,0.0,-1.0
27249400,27249353,-0.009651317,0.017829334,-0.0012978358,0.0,0.0,0.0,0.0,-1.0
27301295,27301249,-0.007180776,0.006402896,0.009769499,0.0,0.0,0.0,0.0,-1.0
