timestamp,rtl_time_s,rtl_limit_fraction
221742091,60.220158,0.066911295
222754741,59.326065,0.06591786
223770027,58.42862,0.06492069
224782106,57.48948,0.0638772
225793842,56.593655,0.06288184
226806600,55.7107,0.061900783
227822803,54.807087,0.060896765
228842396,53.922886,0.059914324
229870560,53.037697,0.058930777
230878767,52.152046,0.057946723
231882762,51.266323,0.056962587
232906958,50.387146,0.055985723
233922953,49.537483,0.055041652
234938659,48.72856,0.054142848
235950428,47.954735,0.05328304
236970901,47.161022,0.052401137
237974736,46.403717,0.051559687
238998763,45.587563,0.05065285
240006959,44.79158,0.049768426
241018903,43.955906,0.0488399
242039562,43.173847,0.047970943
243058954,42.364853,0.04707206
244063035,41.536396,0.046151556
245079394,40.688946,0.04520994
246095487,39.844627,0.04427181
247099255,39.03645,0.043373834
248111225,38.19846,0.042442735
249124732,37.342735,0.04149193
250143585,36.496273,0.040551417
251155945,35.664635,0.039627373
252175268,34.830967,0.038701076
253227879,34.02674,0.03780749
254247420,33.26371,0.03695968
255267468,33.943836,0.037715375
256282502,34.662464,0.03851385
257287845,35.3815,0.03931278
258307742,36.046947,0.040052168
259323568,36.702534,0.040780596
260345647,37.35613,0.041506812
261356084,37.820343,0.042022604
262368171,37.855194,0.04206133
263369271,37.88542,0.042094912
264372091,37.925358,0.042139288
265376672,37.994835,0.042216484
266399695,38.07761,0.042308457
267415980,38.151196,0.04239022
268441378,38.227436,0.04247493
