timestamp,rtl_time_s,rtl_limit_fraction
37780688,3.1902557e-11,3.544729e-14
38827006,0.015019246,1.6688053e-05
39851233,0.042078815,4.675424e-05
40863179,0.040397394,4.4885997e-05
41896764,0.028471125,3.1634587e-05
42944501,0.0045844726,5.093859e-06
43946597,0.01835132,2.0390356e-05
44975075,0.0022745521,2.5272805e-06
45995343,0.028439919,3.159991e-05
47088914,0.036175255,4.019473e-05
48826918,0.36918876,0.00041020976
49847535,2.5423532,0.0028248369
50855615,3.899569,0.004332855
51879526,5.438258,0.0060425093
52895805,6.9853044,0.0077614496
53907539,8.54518,0.0094946455
54928021,10.17055,0.011300612
55980229,12.5772915,0.013974769
56992045,15.205677,0.016895197
58016197,18.053637,0.020059597
59027858,21.048647,0.023387386
60047950,24.09805,0.026775612
61052289,27.08619,0.030095767
62075606,30.1622,0.033513557
63076249,33.155167,0.036839075
64092245,36.233353,0.040259283
65107915,39.13793,0.043486595
66140165,41.87422,0.046526916
67152422,44.467903,0.049408786
68167778,46.358974,0.051509973
69180374,47.70112,0.053001244
70188111,48.54744,0.053941604
71204825,49.108463,0.05456496
72216017,49.54663,0.055051815
73223790,50.190926,0.0557677
74241909,51.139896,0.05682211
75253124,52.14387,0.057937637
76296506,53.22408,0.05913787
77316807,54.330532,0.060367264
78328513,55.440434,0.061600488
79348876,56.5255,0.062806115
80369029,57.55737,0.06395264
81388904,58.556427,0.0650627
82409009,59.526894,0.066140994
83425782,60.511986,0.067235544
84435828,61.521297,0.068357
85454481,62.557693,0.06950855
86469030,63.59625,0.0706625
87485450,64.6291,0.07181011
88493729,65.66368,0.07295965
89516665,66.67997,0.07408886
90532968,67.6986,0.075220674
91549157,68.743866,0.07638208
92568876,69.77376,0.077526405
93577470,70.767296,0.078630336
94601993,71.79457,0.07977175
95621820,72.80656,0.08089618
96629345,73.73816,0.081931286
97661127,74.42158,0.08269064
98707432,74.870544,0.083189495
99717722,75.074295,0.08341589
100719673,75.285995,0.08365111
101729025,75.59975,0.08399972
102743505,76.07181,0.08452424
103757899,76.60213,0.08511348
104758031,77.1248,0.08569422
105774235,77.661514,0.086290576
106790369,78.10218,0.086780205
107806223,78.71304,0.087458946
108818389,79.3693,0.08818812
109826527,80.01246,0.088902734
110838034,80.6721,0.08963566
111862136,81.366066,0.090406746
112885903,82.1001,0.09122233
113897828,82.81729,0.092019215
114917661,83.54012,0.09282236
115936422,83.369354,0.09263262
116977667,78.869576,0.087632865
117994851,72.513054,0.080570064
119014239,64.72287,0.07191431
120018326,55.258095,0.061397888
121031929,46.72211,0.05191346
122052788,40.7103,0.04523367
123102686,38.393414,0.04265935
124107783,41.292355,0.045880396
125126326,43.99765,0.04888628
126136639,47.151978,0.05239109
127155981,50.46348,0.05607054
128172565,54.26029,0.06028921
129175679,58.113895,0.064571
130191879,62.095875,0.06899542
131198891,66.132454,0.07348051
132206712,70.161316,0.07795702
133227205,74.23388,0.08248209
134246293,78.281296,0.086979225
135254989,82.272354,0.09141373
136272574,86.47592,0.096084364
137272619,90.58481,0.1006498
138287157,94.544495,0.105049446
139294796,96.63794,0.107375495
140318683,97.74256,0.10860285
141326964,98.30876,0.109231964
142348954,98.32038,0.10924487
143358609,98.246704,0.109163016
144407700,97.891495,0.10876834
145423867,97.55377,0.10839309
146431433,97.26726,0.10807474
147443725,96.99983,0.107777596
148495577,96.75937,0.10751042
149511664,96.51649,0.10724055
150515512,96.305466,0.10700608
151564034,96.07089,0.106745444
152587940,95.8912,0.10654578
153592209,95.741905,0.1063799
154615775,95.59542,0.10621714
155639439,95.50975,0.10612195
156643867,95.45215,0.10605795
157664011,95.473114,0.10608124
158684101,95.53845,0.10615384
159695890,95.570496,0.106189445
160701113,95.61144,0.10623494
161715711,95.70141,0.1063349
162732534,95.78102,0.10642336
163760791,95.95198,0.106613316
164772291,96.121925,0.10680214
165784543,96.29822,0.10699802
166787916,96.50081,0.10722313
167815553,96.74341,0.107492685
168859620,97.00514,0.107783504
169876317,97.2475,0.108052775
170904043,97.541534,0.10837949
171916671,97.78392,0.10864881
172942187,97.94942,0.108832695
173977912,97.99996,0.10888885
175009732,97.79436,0.10866041
176009891,97.50572,0.1083397
177016286,96.66154,0.107401714
178064659,95.81349,0.106459446
179089839,94.97752,0.10553059
180105164,94.166695,0.104629666
181133223,93.29726,0.10366363
182144595,92.48126,0.10275696
183161560,91.669464,0.101854965
184168814,90.82886,0.10092095
185185168,90.001816,0.10000203
186192699,89.32284,0.099247605
187217127,88.480286,0.09831143
188237233,87.64493,0.09738326
189249766,86.86276,0.09651419
190268842,86.05104,0.09561227
191280864,85.295876,0.094773196
192288350,84.572876,0.09396987
193317169,83.92138,0.09324598
194325207,83.49339,0.09277044
195337507,83.25746,0.09250829
196360850,83.022705,0.09224746
197380967,82.16139,0.091290444
198392844,81.28162,0.09031291
199413734,80.36066,0.08928963
200421556,79.436554,0.08826284
201433759,78.50044,0.08722272
202441693,77.580475,0.08620053
203445584,76.626526,0.085140586
204473940,75.62877,0.08403197
205493573,74.62022,0.08291136
206497817,73.59471,0.0817719
207529493,72.54524,0.080605835
208540953,71.50824,0.0794536
209561665,70.479294,0.07831033
210574017,69.48239,0.07720266
211590016,68.51877,0.07613197
212614005,67.587616,0.07509735
213621833,66.72198,0.074135534
214634037,65.890625,0.07321181
215657983,65.09777,0.072330855
216670044,64.335754,0.07148418
217697747,63.54915,0.070610166
218714242,62.742157,0.06971351
219721960,61.935913,0.06881769
220738878,61.09419,0.06788243
