timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
25785016,0,0.0,0.0,25.0,0
25788967,0,0.0,0.0,25.0,0
26785285,0,0.0,0.0,25.0,0
27785382,0,0.0,0.0,25.0,0
28785331,0,0.0,0.0,25.0,0
29784830,0,0.0,0.0,25.0,0
30785422,0,0.0,0.0,25.0,0
31784928,0,0.0,0.0,25.0,0
32785649,0,0.0,0.0,25.0,0
33781419,0,0.0,0.0,25.0,0
34785385,0,0.0,0.0,25.0,0
35785862,0,0.0,0.0,25.0,0
36785777,0,0.0,0.0,25.0,0
37785774,0,0.0,0.0,25.0,0
38785584,0,0.0,0.0,25.0,0
39781804,0,0.0,0.0,25.0,0
40785361,0,0.0,0.0,25.0,0
41785959,0,0.0,0.0,25.0,0
42785742,0,0.0,0.0,25.0,0
43785909,0,0.0,0.0,25.0,0
44785683,0,3.5400495e-05,3.5400495e-05,25.0,0
45786043,0,8.240671e-06,8.240671e-06,25.0,0
46781802,0,1.2392323e-05,1.2392323e-05,25.0,0
47786125,0,0.22818907,0.22818907,25.0,0
48785963,0,0.6889884,0.6889884,25.0,0
49781512,0,0.9782599,0.9782599,25.0,0
50782286,0,1.3856175,1.3856175,25.0,0
51786240,0,1.4325656,1.4325656,25.0,0
52786173,0,1.5154644,1.5154644,25.0,0
53782544,0,1.5136846,1.5136846,25.0,0
54778983,0,1.5049365,1.5049365,25.0,0
55787124,0,4.273922,4.273922,25.0,0
56786369,0,4.0853252,4.0853252,25.0,0
57786522,0,4.9428773,4.9428773,25.0,0
58785859,0,5.416149,5.416149,25.0,0
59786577,0,5.427827,5.427827,25.0,0
60782661,0,5.487859,5.487859,25.0,0
61786199,0,5.684964,5.684964,25.0,0
62787055,0,5.5167856,5.5167856,25.0,0
63786140,0,5.6732817,5.6732817,25.0,0
64786148,0,4.875963,4.875963,25.0,0
65782508,0,4.38261,4.38261,25.0,0
66786906,0,4.1941047,4.1941047,25.0,0
67782798,0,2.0965657,2.0965657,25.0,0
68783153,0,1.00311,1.00311,25.0,0
69786811,0,0.43006438,0.43006438,25.0,0
70787202,0,0.23938848,0.23938848,25.0,0
71783057,0,0.1526496,0.1526496,25.0,0
72783084,0,2.5698094,2.5698094,25.0,0
73787087,0,12.500125,12.500125,25.0,0
74782966,0,13.948409,13.948409,25.0,0
75783422,0,15.342162,15.342162,25.0,0
76782702,0,16.219015,16.219015,25.0,0
77787266,0,15.986679,15.986679,25.0,0
78783298,0,15.5613785,15.5613785,25.0,0
