timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
144829220,4.7259126,4.8362827,25.0,1.0
145834114,4.7990317,4.911067,25.0,1.0
146829868,4.8205376,4.933108,25.0,1.0
147834264,4.761615,4.8727508,25.0,1.0
148833831,4.720481,4.8306565,25.0,1.0
149830019,4.722435,4.832687,25.0,1.0
150833717,4.7858095,4.8975406,25.0,1.0
151834117,4.8169327,4.929405,25.0,1.0
152834154,4.840683,4.9536877,25.0,1.0
153829871,4.9055977,5.020071,25.0,1.0
154834324,5.0005836,5.1173024,25.0,1.0
155834193,5.065514,5.1837273,25.0,1.0
156830489,5.171547,5.292155,25.0,1.0
157830123,5.154606,5.2748137,25.0,1.0
158834471,4.9778485,5.0939684,25.0,1.0
159833807,4.90958,5.0241523,25.0,1.0
160826160,4.7807307,4.892223,25.0,1.0
161830680,4.7928624,4.904626,25.0,1.0
162834476,4.9199033,5.0346518,25.0,1.0
163830321,4.9073424,5.021754,25.0,1.0
164830803,4.8281574,4.940739,25.0,1.0
165834349,4.8481936,4.9612174,25.0,1.0
166834418,4.9548154,5.0703716,25.0,1.0
167830649,5.0171795,5.134129,25.0,1.0
168830975,5.043234,5.1608405,25.0,1.0
169834238,5.011805,5.1286616,25.0,1.0
170830863,4.3136864,4.4142137,25.0,1.0
171830947,3.0462966,3.1173325,25.0,1.0
172834861,1.8631428,1.9065986,25.0,1.0
173835141,1.1859725,1.2136388,25.0,1.0
174830591,1.0927651,1.1182616,25.0,1.0
175830501,2.57214,2.632128,25.0,1.0
176834856,4.584635,4.6915717,25.0,1.0
177831362,4.536319,4.642151,25.0,1.0
178831553,4.6093564,4.7169194,25.0,1.0
179831462,4.6613874,4.7701654,25.0,1.0
180834693,4.7132964,4.8232718,25.0,1.0
181831388,4.716144,4.8261724,25.0,1.0
182831188,4.7631097,4.8741727,25.0,1.0
183835292,4.8348513,4.9476743,25.0,1.0
184831563,4.9372134,5.0523496,25.0,1.0
185831347,4.893373,5.00757,25.0,1.0
186831753,4.968973,5.0849023,25.0,1.0
187835482,4.9171343,5.031825,25.0,1.0
188831568,4.7968054,4.908705,25.0,1.0
189831455,4.72058,4.8307834,25.0,1.0
190831654,4.6886764,4.7980475,25.0,1.0
191831713,4.647273,4.7556677,25.0,1.0
