timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
2267373,1200.0,0.7905914,275.2587,0.0,17,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3027471,1200.0,0.7905914,198.0198,0.0,28,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3787453,1200.0,0.7905914,198.0198,0.0,36,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4547451,1200.0,0.7905914,106.99732,0.0,46,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5307390,1200.0,0.7905914,209.99832,0.0,54,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6068469,1200.0,0.7905914,199.80678,0.0,65,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6828486,1200.0,0.7905914,199.80678,0.0,76,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7579428,1200.0,0.7905914,199.98021,0.0,83,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9100384,1200.0,0.7905914,199.7998,0.0,102,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9860494,1200.0,0.7905914,199.7998,0.0,107,3,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10621390,1200.0,0.43165466,59.405823,78.21767,114,5,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
