timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
61675028,61674146,-0.23126625,0.3976685,-2.3274698,-1.064073,0.058593374,1.21871,2.5456874,-0.017629681,0.28506947,0.22738674,-0.093481496,-0.2964525,-0.29015785,-0.10100868,0.21533725,0.29711533,-0.0149083175,0.0065713306,0.2946815,0.66353035,0.03378338,0.0014334773
62667148,62666319,-0.3296067,0.35479948,-2.2968116,-1.048706,0.055427298,1.2144973,2.562694,-0.07126431,0.19588843,0.10864708,-0.20971027,-0.37464285,-0.33137587,-0.11565096,0.18043931,0.22864118,-0.09806035,0.0040686647,0.36589828,0.6165373,0.0131191285,0.00037663593
63671594,63670646,-0.4782805,0.3643729,-2.2817395,-1.0452082,0.056580216,1.2243339,2.5828707,0.06764285,0.28940535,0.15854518,-0.16008177,-0.26713756,-0.24303633,0.009076558,0.28184316,0.27885103,-0.06873297,0.005754036,0.4821957,0.5040995,0.007650874,0.00029998575
64667935,64667091,-0.35964417,0.45791966,-2.289451,-1.0367396,0.08720454,1.2587206,2.5932446,0.17899653,0.39636755,0.21073328,-0.14240016,-0.20906635,-0.31744444,-0.008887321,0.27962106,0.22708905,-0.1675279,0.013797827,0.40468785,0.55165774,0.02771136,0.0021452291
65671998,65671000,-0.26494855,0.38846165,-2.2768865,-1.0230561,0.09378082,1.2583681,2.595215,0.07090245,0.34825855,0.13708715,-0.28904688,-0.39254704,-0.3574161,0.0074396953,0.36265275,0.31765002,-0.15420955,0.006922923,0.3446395,0.6232274,0.024141219,0.0010689184
66663601,66662840,-0.337813,0.3744764,-2.267253,-1.019063,0.09270844,1.2583332,2.602281,0.13363865,0.36944115,0.12449187,-0.29530278,-0.3507489,-0.29586303,0.09549345,0.4258628,0.3394185,-0.1432529,0.0062596025,0.3986455,0.57956254,0.014918759,0.00061356556
67671334,67670485,-0.39520523,0.40427697,-2.2589214,-1.0119112,0.103956476,1.2740519,2.6167457,0.1547289,0.35403198,0.08380008,-0.32320142,-0.3327663,-0.3411864,0.06295255,0.36863905,0.24499533,-0.2343766,0.010223546,0.446505,0.52617484,0.01609927,0.000997374
68671554,68670563,-0.35155815,0.40217933,-2.2501516,-1.001735,0.114411846,1.2834506,2.6248899,0.27072445,0.4375962,0.08604316,-0.3576602,-0.2989229,-0.3468148,0.14153793,0.4486687,0.24909243,-0.29671687,0.009587582,0.42239985,0.5489808,0.017979937,0.0010519344
69667933,69667026,-0.23819777,0.31951922,-2.2241497,-0.976816,0.12769242,1.288162,2.636657,0.31622204,0.45591196,0.065440156,-0.39040217,-0.29496956,-0.40931645,0.119798705,0.4183342,0.18137488,-0.39602467,0.0023969274,0.34971422,0.6385782,0.009136438,0.00017432202
70668258,70667300,-0.04324762,0.19620422,-2.196838,-0.948734,0.13716695,1.281349,2.6389537,0.30762982,0.3836066,-0.013781533,-0.42440498,-0.28585082,-0.38744232,0.13328183,0.37533543,0.11334154,-0.4340462,0.00012802643,0.18797424,0.8089684,0.002911856,1.7491715e-05
71667605,71666647,0.10591348,0.0835233,-2.173978,-0.9173353,0.1618343,1.2925979,2.646649,0.31479427,0.34302986,-0.0029092357,-0.326905,-0.18272878,-0.29029578,0.15186712,0.32575414,0.085243255,-0.36429155,1.5815895e-05,0.06417145,0.9329393,0.0028575724,1.5815895e-05
72676862,72674735,0.07352018,0.1553236,-1.8877397,-0.7023386,0.25178376,1.33121,2.8050787,-1.1114149,-0.1967876,-0.27202845,-1.1683064,-2.0115273,-0.9940599,-0.42739183,0.47370222,0.8964566,-0.022485375,2.4901252e-05,0.2020375,0.7978877,2.4901252e-05,2.4901252e-05
73668126,73667188,0.0719598,0.004753961,-1.3750492,-0.43240526,0.071995094,0.793234,2.667585,-1.194994,-0.25788164,-0.24530411,-0.8319404,-3.8414888,-1.5398833,-0.550537,0.2044521,1.1118197,0.38062698,1.570451e-05,7.9094534e-05,0.99987376,1.570451e-05,1.570451e-05
74673381,74671126,0.056525078,0.0042317472,-1.2131836,-0.3559608,0.05656011,0.6878298,2.6816158,-0.21535158,-0.324677,-0.42706776,-0.5793853,-1.2706413,-0.08927393,0.12131792,0.16510856,0.16866165,-0.2416274,3.2202963e-05,6.63935e-05,0.9998601,2.0611848e-05,2.0611848e-05
