timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
25881085,25881029,197388,0.25016594,-0.052906808,0.43705523,25.0,0,0
25885684,25885622,197388,0.29666325,-0.013766019,0.4307724,25.0,0,0
26869934,26869532,197388,0.25932425,0.02518228,0.45183733,25.0,0,0
27870096,27869700,197388,0.2767061,-0.057601888,0.3999677,25.0,0,0
28869549,28869223,197388,0.26299036,-0.07955305,0.461329,25.0,0,0
29866187,29865783,197388,0.32630435,-0.013862769,0.4731239,25.0,0,0
30869778,30869373,197388,0.28340697,0.02134641,0.49449232,25.0,0,0
31870207,31869793,197388,0.24912703,-0.015297972,0.5102581,25.0,0,0
32865916,32865515,197388,0.30987862,-0.043522596,0.3842494,25.0,0,0
33865672,33865233,197388,0.25359035,-0.013482762,0.5201721,25.0,0,0
34870733,34869814,197388,0.24087174,-0.070098035,0.4710404,25.0,0,0
35869745,35869307,197388,0.27565423,-0.08722088,0.45577013,25.0,0,0
36866450,36865668,197388,0.32000476,-0.019487767,0.4188733,25.0,0,0
37869822,37869360,197388,0.24017386,-0.03672768,0.4801966,25.0,0,0
38871109,38870092,197388,0.3133578,-0.019649599,0.44767898,25.0,0,0
39866110,39865683,197388,0.2344765,0.013140828,0.4965378,25.0,0,0
40866505,40866082,197388,0.2513114,0.00023030976,0.39421135,25.0,0,0
41870412,41869985,197388,0.28048047,0.0056615644,0.46224016,25.0,0,0
42870902,42869881,197388,0.30890968,-0.057601,0.47195935,25.0,0,0
43866884,43865462,197388,0.27029228,0.036931176,0.49271575,25.0,0,0
44867208,44865903,197388,0.26456174,-0.030788997,0.4328266,25.0,0,0
45870521,45870103,197388,0.26853916,-0.009893622,0.49674615,25.0,0,0
46866728,46866295,197388,0.24698448,-0.020519063,0.450217,25.0,0,0
47866969,47865583,197388,0.28802618,0.0031465632,0.50184107,25.0,0,0
48870449,48870014,197388,0.24901895,-0.014034229,0.502142,25.0,0,0
49870302,49869717,197388,0.28390068,0.012493172,0.4227556,25.0,0,0
50867285,50866265,197388,0.29236838,0.00849922,0.45958593,25.0,0,0
51870541,51870077,197388,0.3059805,-0.07246717,0.473265,25.0,0,0
52870709,52870287,197388,0.27704096,-0.047071595,0.47716162,25.0,0,0
