timestamp,timestamp_sample,device_id,error_count,pressure,temperature
139846391,139845871,6620172,0,1001.247,25.0
140848306,140846009,6620172,0,1001.3157,25.0
141846530,141846043,6620172,0,1001.27704,25.0
142846185,142845670,6620172,0,1001.2158,25.0
143847261,143846230,6620172,0,1001.167,25.0
144842495,144842027,6620172,0,1001.30255,25.0
145847012,145845964,6620172,0,1001.316,25.0
146846496,146846007,6620172,0,1001.1964,25.0
147846741,147846274,6620172,0,1001.31195,25.0
148846368,148845845,6620172,0,1001.3364,25.0
149846032,149845567,6620172,0,1001.24854,25.0
150846592,150845514,6620172,0,1001.2949,25.0
151842199,151841737,6620172,0,1001.27014,25.0
152846860,152845774,6620172,0,1001.29346,25.0
153847709,153846568,6620172,0,1001.3009,25.0
154846926,154846414,6620172,0,1001.32166,25.0
155846617,155846150,6620172,0,1001.28546,25.0
156847387,156846258,6620172,0,1001.2993,25.0
157846323,157845794,6620172,0,1001.2851,25.0
158843128,158842560,6620172,0,1001.28326,25.0
159843187,159842725,6620172,0,1001.31573,25.0
160847283,160846811,6620172,0,1001.3128,25.0
161847155,161846693,6620172,0,1001.35486,25.0
162842604,162842132,6620172,0,1001.33624,25.0
163843393,163842875,6620172,0,1001.3674,25.0
164847102,164846628,6620172,0,1001.3846,25.0
165843475,165842948,6620172,0,1001.3564,25.0
166847025,166846008,6620172,0,1001.3374,25.0
167847209,167846737,6620172,0,1001.35706,25.0
168847304,168846749,6620172,0,1001.3901,25.0
169843628,169842979,6620172,0,1001.3075,25.0
170843298,170842819,6620172,0,1001.3801,25.0
171844161,171843647,6620172,0,1001.2587,25.0
172843029,172842404,6620172,0,1001.3265,25.0
173843664,173843155,6620172,0,1001.3437,25.0
174847729,174847196,6620172,0,1001.2366,25.0
175848297,175847232,6620172,0,1001.27765,25.0
176842922,176842455,6620172,0,1001.3173,25.0
177843932,177843405,6620172,0,1001.3573,25.0
178848065,178847078,6620172,0,1001.2727,25.0
179843838,179843359,6620172,0,1001.315,25.0
180844413,180843303,6620172,0,1001.28296,25.0
181847426,181846952,6620172,0,1001.34015,25.0
182847425,182846960,6620172,0,1001.30884,25.0
183840586,183839159,6620172,0,1001.3669,25.0
184844729,184843668,6620172,0,1001.3239,25.0
185844177,185843711,6620172,0,1001.23206,25.0
186844041,186843573,6620172,0,1001.2555,25.0
187844013,187843425,6620172,0,1001.3481,25.0
188844255,188843764,6620172,0,1001.35175,25.0
189848443,189846998,6620172,0,1001.34753,25.0
190844327,190843840,6620172,0,1001.39844,25.0
191844532,191843912,6620172,0,1001.3588,25.0
192847826,192847323,6620172,0,1001.4305,25.0
193843801,193843294,6620172,0,1001.3792,25.0
194844486,194843996,6620172,0,1001.3637,25.0
195844565,195844029,6620172,0,1001.3728,25.0
196844711,196844220,6620172,0,1001.42664,25.0
197845307,197844308,6620172,0,1001.5256,25.0
198845618,198844353,6620172,0,1001.6255,25.0
199844405,199843914,6620172,0,1001.6719,25.0
200844501,200844010,6620172,0,1001.8899,25.0
201845089,201844214,6620172,0,1001.92175,25.0
202844570,202844105,6620172,0,1002.0971,25.0
203848831,203847831,6620172,0,1002.14056,25.0
204840921,204840437,6620172,0,1002.3081,25.0
205844368,205843752,6620172,0,1002.3504,25.0
206845026,206844540,6620172,0,1002.4929,25.0
207844617,207844145,6620172,0,1002.594,25.0
208845529,208844467,6620172,0,1002.71985,25.0
209845166,209844528,6620172,0,1002.98883,25.0
210848763,210848293,6620172,0,1002.9001,25.0
211845004,211844498,6620172,0,1003.0973,25.0
212845463,212844526,6620172,0,1003.12714,25.0
213848543,213848042,6620172,0,1003.3252,25.0
214844562,214844087,6620172,0,1003.45135,25.0
215844786,215844308,6620172,0,1003.49634,25.0
216844676,216844203,6620172,0,1003.5879,25.0
217844842,217844371,6620172,0,1003.6443,25.0
218845400,218844863,6620172,0,1003.72876,25.0
219845294,219844822,6620172,0,1003.73584,25.0
220845465,220844834,6620172,0,1003.9686,25.0
221845801,221844834,6620172,0,1004.0764,25.0
222845314,222844828,6620172,0,1004.1442,25.0
223846213,223845160,6620172,0,1004.27167,25.0
224844939,224844471,6620172,0,1004.37006,25.0
225845200,225844731,6620172,0,1004.50433,25.0
226845062,226844586,6620172,0,1004.4846,25.0
227845857,227845388,6620172,0,1004.80066,25.0
