timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
25694571,25694487,1310988,-0.02857202,-0.04599735,0.051958684,25.0,0,1
25700084,25700082,1310988,-0.016642524,0.06902156,-0.08231163,25.0,0,1
26664807,26664806,1310988,-0.041532878,0.079446234,-0.11501982,25.0,0,1
27664829,27664827,1310988,-0.046231955,-0.21401207,-0.020736072,25.0,0,1
28673429,28673428,1310988,-0.13927872,-0.054414093,0.054338854,25.0,0,1
29628875,29628873,1310988,-0.03144363,-0.020933382,0.06674142,25.0,0,1
30649331,30649330,1310988,-0.061784197,-0.054596897,0.05187634,25.0,0,1
31669768,31669766,1310988,-0.01453276,0.056708757,-0.19207813,25.0,0,1
32673578,32673577,1310988,0.042566955,0.018934561,0.09202974,25.0,0,1
33665534,33665533,1310988,-0.020821841,-0.027911663,-0.005365888,25.0,0,1
34669847,34669846,1310988,-0.013081357,-0.14544748,-0.050254162,25.0,0,1
35673208,35673207,1310988,-0.008293112,0.05308523,-0.039302498,25.0,0,1
36673739,36673737,1310988,0.061850548,0.009763657,-0.0114714345,25.0,0,1
37669858,37669856,1310988,-0.009119573,-0.014231402,-0.0042799893,25.0,0,1
38669961,38669960,1310988,0.058544412,0.072832845,-0.11118245,25.0,0,1
39669765,39669764,1310988,-0.057192072,-0.028116213,-0.009870278,25.0,0,1
40670178,40670177,1310988,0.010150551,-0.1186062,0.047195155,25.0,0,1
41661686,41661684,1310988,0.0352828,-0.14380088,-0.017290194,25.0,0,1
42673989,42673987,1310988,-0.02497673,0.028370095,-0.054553602,25.0,0,1
43673930,43673929,1310988,-0.07818022,-0.14491415,0.045294553,25.0,0,1
44669912,44669911,1310988,-0.09010211,0.030694246,0.056127038,25.0,0,1
45665883,45665882,1310988,0.03697247,-0.12051704,-0.006122335,25.0,0,1
46674006,46674005,1310988,-0.043873366,0.05932689,0.042437352,25.0,0,1
47669485,47669484,1310988,-0.21648926,0.050473668,-0.064329945,25.0,0,1
48669835,48669834,1310988,-0.058891166,0.14209972,0.025997529,25.0,0,1
49674611,49674610,1310988,0.21289258,0.003474003,0.034038123,25.0,0,1
50674574,50674573,1310988,-0.0059219846,0.09139027,-0.07756243,25.0,0,1
51669861,51669860,1310988,0.084475376,-0.090997435,-0.1080843,25.0,0,1
52670391,52670390,1310988,-0.043689772,0.056223534,-0.0006973958,25.0,0,1
53674370,53674369,1310988,0.029758805,-0.10177571,0.06664931,25.0,0,1
54662206,54662205,1310988,0.040724877,0.042527065,0.081119865,25.0,0,1
55670261,55670260,1310988,-0.11331105,0.009695387,-0.17937098,25.0,0,1
56670659,56670658,1310988,-0.03435781,-0.016663205,0.08666987,25.0,0,1
57674893,57674892,1310988,-0.17546897,-0.09837348,-0.020639408,25.0,0,1
58666279,58666278,1310988,0.06972431,0.007950205,0.06445523,25.0,0,1
59666012,59666011,1310988,0.12679724,-0.07317511,0.0018530322,25.0,0,1
60670843,60670842,1310988,0.050454978,-0.039789442,0.010257428,25.0,0,1
61670158,61670156,1310988,-0.23724493,-0.16152427,-0.09170242,25.0,0,1
62670159,62670158,1310988,0.09214371,-0.11879671,-0.12289685,25.0,0,1
63666562,63666561,1310988,-0.1579916,-0.26589897,0.054039102,25.0,0,1
64670645,64670644,1310988,0.06541149,-0.10540279,0.12027867,25.0,0,1
65671001,65671000,1310988,-0.2503496,0.086253256,0.026258172,25.0,0,1
66670648,66670647,1310988,0.06784426,0.06200241,-0.036598273,25.0,0,1
67674638,67674637,1310988,0.12769437,0.03357504,0.0639751,25.0,0,1
68670564,68670563,1310988,0.074040525,-0.07573753,0.0101173585,25.0,0,1
69670637,69670636,1310988,0.27152207,0.09103621,0.18896951,25.0,0,1
70671317,70671315,1310988,0.01010738,0.20628801,0.09183231,25.0,0,1
71670479,71670477,1310988,0.07923671,-0.12399566,0.03997765,25.0,0,1
72670808,72670806,1310988,0.08606825,-0.07160853,0.0064878287,25.0,0,1
73671308,73671307,1310988,-0.032088127,0.18700182,0.004013172,25.0,0,1
74671127,74671126,1310988,-0.14900453,-0.14990976,0.06019738,25.0,0,1
75671385,75671384,1310988,0.021502357,-0.09618764,-0.08104289,25.0,0,1
76671151,76671150,1310988,0.045365687,-0.07972427,-0.18227735,25.0,0,1
77670805,77670804,1310988,0.12875219,0.06656845,0.06392924,25.0,0,1
78675038,78675036,1310988,-0.02941642,0.2660542,-0.010516448,25.0,0,1
79670936,79670935,1310988,0.0609665,0.11225315,-0.030256106,25.0,0,1
