timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
26200777,26200751,-1.6359652,-2.534494,-1.1808501
26204766,26204740,-5.6457405,-4.0175753,4.156015
26220820,26220793,13.505986,8.00808,-2.816417
26244835,26244808,-8.205232,-6.7522182,8.16098
26264881,26264855,2.4246674,1.6586936,-4.333856
26280848,26280822,-1.148888,1.0891988,-3.0063097
26301408,26301382,2.139973,-1.8531661,2.8670993
26325345,26325319,1.0144886,-3.777659,-7.7367597
26345376,26345351,6.0415277,8.685006,2.0698044
26361217,26361191,0.65782624,-5.2056303,-0.9208077
26385157,26385132,3.8389564,1.2542669,0.14734234
26404792,26404767,1.8142834,0.2893153,-0.3331968
26420708,26420683,-7.3425126,-4.2165895,-0.60766923
26443005,26442980,5.0567017,5.830351,0.83171785
26465225,26465199,0.07404313,5.442524,7.802492
26485177,26485152,-3.9730227,-4.223463,-3.285567
26500924,26500898,-1.240406,0.4924681,-0.4270755
26521290,26521265,0.54743195,0.6958908,1.0809934
26544988,26544963,3.7222002,-8.097092,-2.671992
26561003,26560977,-5.206044,0.4263394,-3.1738875
26581428,26581402,6.185231,4.7980957,-2.0558152
26605354,26605328,-4.4889445,-6.0100293,0.50283617
26625308,26625283,-0.49038637,7.002925,0.00033170084
26641348,26641323,-2.7492113,-3.293846,1.9622202
26664832,26664806,6.8519487,0.871693,1.7270806
26685473,26685440,-1.5072517,1.4336329,-3.6646264
26701524,26701499,-1.032513,-5.660539,1.2704047
26721532,26721506,0.23360378,1.1940578,-2.2456763
26745341,26745315,-6.448557,-0.66728663,0.5257214
26765560,26765533,6.942727,-0.3347145,-2.3177047
26781744,26781718,0.4241171,1.5778381,0.774109
26800864,26800839,-1.2928886,-3.6614463,0.2516438
26825348,26825322,5.877681,1.4026357,4.9098306
26841535,26841509,-6.519918,-4.421101,-4.1629133
26860884,26860859,-3.5821662,3.7323759,0.9521807
26885421,26885395,-0.5650892,-4.0779853,-0.60317314
26905364,26905339,-1.6959465,5.1882825,8.441297
26921435,26921409,1.9532934,-0.33229467,-8.213184
26945196,26945164,1.0106313,-3.051245,2.2065828
26965326,26965300,-6.2097273,1.1856601,4.5141172
26981270,26981240,3.4199395,2.297535,0.1717199
27001540,27001514,1.9626857,0.88367856,3.2204394
27024838,27024812,-2.3792846,1.170837,3.7765434
27045442,27045416,-1.7140802,-2.3642008,-8.732235
27061258,27061232,-0.9663986,-1.1500663,3.2434356
27084940,27084915,-1.2236273,4.838053,-1.4836029
27105337,27105312,-0.22179867,2.505255,1.533326
27121230,27121204,-5.657547,-0.85350204,3.3444116
27141296,27141172,6.540977,-3.6456282,-8.6496105
27164817,27164791,-1.3876928,1.4967135,1.5511984
27184954,27184928,-0.25269684,-2.0911098,-8.231665
27201506,27201465,0.9392327,1.1220946,5.9401884
27221545,27221520,-1.2686651,-4.6104417,-1.3274337
27245370,27245345,3.403679,4.5362115,-0.051308256
27261425,27261399,-0.0478121,-6.5068507,0.22974591
27281369,27281343,-2.2699301,6.2800407,-2.4167051
27304719,27304688,-1.5775505,-1.717239,0.56667393
27325325,27325299,3.8365068,5.774527,2.5443316
27341166,27341140,-5.4677734,-7.261831,4.332028
27361073,27361041,-0.87263626,5.133688,-4.1569247
27384737,27384711,-1.0855669,-2.475237,4.577975
27401328,27401302,3.8676887,1.7907821,-4.9263835
27421403,27421377,-6.7656097,-4.162834,0.09334607
27445554,27445529,4.277817,0.5193448,0.39594448
27465363,27465337,-1.5651262,-2.3580592,-3.744004
27481344,27481319,2.2957218,5.5504866,5.6972094
27501330,27501304,1.2895825,-8.07142,-1.5721362
