timestamp,load,ram_usage
1555271,0.07046187,0.4232946
2055274,0.20400041,0.57884866
2555275,0.14580202,0.58367103
3055275,0.15018803,0.5839389
3555278,0.14849198,0.5839389
4055280,0.15149051,0.5839389
4555275,0.15125352,0.5839389
5055278,0.15117168,0.5839389
5555277,0.14993232,0.5839389
6055275,0.15264201,0.5839389
6555307,0.14934802,0.5839389
7055278,0.15163797,0.5839389
7555279,0.14964283,0.5839389
8055303,0.1509952,0.5839389
8555276,0.14969403,0.5839389
9055277,0.15119803,0.5839389
9555277,0.15006399,0.5839389
10055275,0.15129602,0.5839389
10555276,0.15150398,0.5839389
11055317,0.15216291,0.5839389
11555277,0.14969689,0.5839389
12055279,0.152008,0.5839389
12555277,0.14907801,0.5839389
13055275,0.15149802,0.5839389
13555275,0.150204,0.5839389
14055277,0.15177602,0.5839389
14555281,0.15059388,0.5839389
15055276,0.15102613,0.5839389
15555280,0.1506117,0.5839389
16055302,0.15130597,0.5839389
16555277,0.15121228,0.5839389
17055277,0.15074599,0.5839389
17555305,0.15050203,0.5839389
18055279,0.15135878,0.5839389
18555276,0.1500392,0.5839389
19055275,0.15096599,0.5839389
19555275,0.15091997,0.5839389
20055279,0.15075397,0.5839389
20555275,0.15081,0.5839389
21055275,0.15120602,0.5839389
21555284,0.1513496,0.5874217
22055280,0.1518504,0.5903687
22555279,0.15135199,0.5938515
23055287,0.15119171,0.5938515
23555280,0.15171629,0.5938515
24055279,0.15118599,0.5938515
24555282,0.15324199,0.5938515
25055285,0.15298384,0.5950571
25555280,0.15163612,0.5950571
26055285,0.2674355,0.6206088
26555291,0.3007282,0.6475001
27055288,0.31905454,0.65054756
27555292,0.34917593,0.6564415
28055292,0.36531597,0.6564415
28555336,0.36153018,0.65670943
29055292,0.36233735,0.65670943
29555292,0.36650598,0.65670943
30055614,0.37875932,0.6572452
30555293,0.46873277,0.6572452
31055294,0.36542672,0.6572452
31555294,0.36637598,0.6572452
32055336,0.3653311,0.6572452
32555294,0.36501813,0.6572452
33055291,0.36114675,0.6572452
33555294,0.32927132,0.6585848
34055294,0.37563074,0.6585848
34555292,0.38353997,0.6585848
35055294,0.376527,0.6585848
35555337,0.38711673,0.6585848
36055294,0.38040376,0.6585848
36555293,0.38433802,0.6585848
37055314,0.38839537,0.66019225
37555292,0.3899327,0.66019225
38055299,0.4067003,0.6627039
38555297,0.39350635,0.6627039
39055349,0.3914957,0.6627039
39555296,0.3931548,0.6627039
40055297,0.39278078,0.6627039
40555606,0.3947932,0.6627039
41055306,0.38919318,0.6627039
41555296,0.39764953,0.6627039
42055300,0.3901345,0.6627039
42555508,0.39385015,0.6627039
43055295,0.39426756,0.66323966
43555296,0.37376648,0.6605271
44055297,0.36944854,0.64230937
44555298,0.368154,0.64230937
45055295,0.37760377,0.6425438
45555426,0.37192106,0.6425438
46055342,0.37549233,0.6425438
46555415,0.36841697,0.6425438
47055532,0.37275875,0.6425438
47555301,0.36094165,0.6425438
48055338,0.37365937,0.6425438
48555339,0.3601913,0.6430796
49055536,0.36800426,0.6430796
49555384,0.36276627,0.6430796
50055418,0.37342137,0.6430796
50555313,0.37294835,0.6430796
51055471,0.37965477,0.6430796
51555370,0.36882704,0.6430796
52055299,0.38250488,0.6430796
52555539,0.37351823,0.6430796
53055526,0.37833184,0.6430796
53555314,0.3705507,0.6430796
54055516,0.3802272,0.6430796
54555315,0.36906308,0.6430796
55055520,0.37087917,0.6430796
55555298,0.37248313,0.6430796
56055585,0.37367302,0.6430796
56555346,0.37478316,0.6430796
57055326,0.37490577,0.6430796
57555305,0.37686986,0.6430796
58055698,0.37322062,0.6430796
58555626,0.3829239,0.6430796
59055485,0.36882126,0.6430796
59555298,0.37401485,0.6430796
60055869,0.3767687,0.6430796
60555813,0.37925822,0.6430796
61055401,0.3769614,0.6430796
61555303,0.3765306,0.6430796
62055294,0.32537198,0.6430796
62555740,0.36981487,0.6430796
63055315,0.37336904,0.6430796
63555367,0.3765915,0.6430796
64055297,0.37461144,0.6430796
64555740,0.37394643,0.6430796
65055317,0.37754,0.6430796
65555299,0.37409472,0.6430796
66055761,0.3779118,0.6430796
66555296,0.3734581,0.6430796
67055337,0.3714193,0.6430796
67555348,0.37220657,0.6430796
68055823,0.3795994,0.6430796
68555294,0.37301064,0.6430796
69055517,0.3721028,0.6430796
69555296,0.3715207,0.6430796
70055389,0.37502426,0.6430796
70555339,0.37543154,0.6430796
71055933,0.37706405,0.6430796
71555994,0.36786383,0.6430796
72055384,0.39620137,0.6430796
72555306,0.42272192,0.6430796
73055693,0.42666662,0.6430796
73555345,0.42982143,0.6430796
74055388,0.4172361,0.6430796
74555297,0.42854542,0.6430796
75055295,0.426714,0.6430796
75555296,0.4243403,0.6430796
76055405,0.4285546,0.6430796
76555295,0.4311906,0.6430796
77055318,0.42497575,0.6430796
77555337,0.38111424,0.6430796
78055295,0.3757071,0.6430796
78555295,0.37601602,0.6430796
79055295,0.37598997,0.6430796
79555305,0.3766482,0.6430796
80055295,0.37816983,0.6430796
80555296,0.3807212,0.6430796
81055351,0.37200785,0.6430796
81555349,0.37346053,0.6430796
82055297,0.3716756,0.6430796
82555297,0.37760878,0.6430796
83055294,0.37439197,0.6430796
83555334,0.37541324,0.6430796
84055321,0.37536252,0.6430796
84555336,0.3731674,0.6430796
85055295,0.37710917,0.6430796
85555296,0.372868,0.6430796
86055295,0.37211525,0.6430796
86555311,0.37509274,0.6430796
87055313,0.37572402,0.6430796
87555295,0.370866,0.6430796
88055338,0.38175088,0.6430796
88555305,0.3730616,0.6430796
89055295,0.37732047,0.6430796
89555294,0.37608624,0.6430796
90055295,0.37113,0.6430796
90555294,0.37168998,0.6430796
91055295,0.37791324,0.6430796
91555369,0.36986738,0.6430796
92055295,0.37728631,0.6430796
92555326,0.37665325,0.6430796
93055293,0.37604475,0.6430796
93555296,0.37082398,0.6430796
94055295,0.37416798,0.6430796
94555295,0.37209803,0.6430796
95055345,0.3743683,0.6430796
95555296,0.37307155,0.6430796
96055298,0.37404,0.6430796
96555295,0.37510002,0.6430796
97055319,0.37300998,0.6430796
97555296,0.386122,0.6430796
98055294,0.42567712,0.6430796
98555344,0.4290151,0.6430796
99055295,0.4203449,0.6430796
99555294,0.42633116,0.6430796
100055292,0.43007284,0.6430796
100555296,0.424684,0.6430796
101055296,0.428712,0.6430796
101555294,0.42579198,0.6430796
102055344,0.42620766,0.6430796
102555295,0.42448217,0.6430796
103055309,0.424904,0.6430796
103555293,0.431688,0.6430796
