timestamp,saturation_status
26268976,1533
26274351,1533
27269467,1533
28269957,1533
29269083,1533
30268980,1533
31269428,1533
32269320,1533
33268064,1533
34270006,1533
35270072,1533
36269721,1533
37270025,1533
38269891,1533
39269325,1533
40269289,1533
41270158,1533
42269593,1533
43269461,1533
44269841,1
45270312,1
46270276,1
47270389,1
48270735,1
49270273,1
50270044,1
51266545,1
52270505,1
53270082,1
54270071,1
55266701,1
56270395,1
57270543,1
58266741,1
59270545,1
60271342,1
61271078,1
62270187,1
63270436,1
64270488,1
65266302,1
66270267,1
67270483,1
68271033,1
69266965,1
70271057,1
71270556,1
72266679,1
73270897,1
74270900,1
75271465,1
76270691,1
77271218,1
78271468,1
79267323,1
80267380,1
81267476,1
82267125,1
83267798,1
84271028,1
85271353,1
86267684,1
87268328,1
88271106,1
89272099,1
90267673,1
91271602,1
92272195,1
93267455,1
94267481,1
95271677,1
96271470,1
97267503,1
98263710,1
99271986,1
100268266,1
101267761,1
102268335,1
103272947,1
104268013,1
105268483,1
106272397,1
107268319,1
108268560,1
109268609,1
110268938,1
111268629,1
112268886,1
113272766,1
114268433,1
115268874,1
116268431,3
117272253,3
118268424,3
119269309,3
120268787,1199
121269037,3
122269069,3
123269306,3
124268977,1
125268785,1
126269554,1
127269162,1
128268692,1
129269340,1
130269721,1
131269378,1
132269481,1
133269113,1
134269484,1
135269530,1
136269191,1
137269540,1
138269153,1
139269683,1
140269857,1
141269952,1
142269817,1
143269583,1
144269978,1
145265789,1
146269783,1
147270283,1
148269862,1
149270045,1
150269951,1
151270405,1
152269529,1
153270185,1
154270140,1
155270464,1
156266559,1
157269839,1
158270045,1
159269929,1
160270521,1
161270756,1
162270428,1
163266291,1
164270747,1
165270699,1
166270344,1
167267014,1
168271018,1
169270896,1
170266994,1
171270474,1
172271171,1
173270473,1
174267145,1
175270993,1
176271055,1
177266622,1
178267393,1
179271198,1
180267266,1
181267424,1
182271354,1
183270851,1
184267544,1
185267377,1
186271389,1
187266953,1
188267773,1
189271301,1
190271356,1
191267491,1
192267198,1
193271895,1
194267849,1
195268089,1
196268078,1
197272045,1
198268018,1
199268037,1
200268354,1
201267936,1
202268233,1
203271602,1
204272389,1
205267979,1
206268365,1
207268401,1
208272368,1
209268569,1
210268450,1
211272659,1
212268619,1
213268029,1
214268783,1
215268704,1
216268868,1
217268192,1
218268928,1
219269077,1
220268662,1
221269001,1
222268871,1
223268815,1
224268483,1
225269119,1
226268815,1
227268554,1
228269067,1
229272977,1
230269488,1
231269257,1
232269225,1
233269216,1
234269298,1
235268988,1
236273069,1
237269191,1
238269433,1
239269593,1
240269414,1
241269677,1
242265158,1
243269510,1
244269147,1
245269864,1
246269497,1
247269866,1
248269296,1
249265412,1
250270129,1
251269854,1
252269693,1
253270259,1
254269429,1
255270160,1
256269772,1
257270266,1
258269949,1
259269938,1
260270276,1
261266545,1
262270426,1199
263270414,1335
264270404,1357
265270570,1357
266270402,1357
267270467,1357
268266994,1357
269270528,1533
