timestamp,instance_count,latitude,longitude,time_inside,acceptance_radius,loiter_radius,yaw,altitude,sequence_current,nav_cmd,frame,origin,loiter_exit_xtrack,force_heading,altitude_is_relative,autocontinue,vtol_back_transition
42842896,2,40.15403,116.25937,0.0,0.0,0.0,-0.002518559,99.65318,1,22,0,0,0,0,0,1,0
71621205,2,40.15438,116.25942,0.0,0.0,0.0,nan,50.0,1,16,0,0,0,0,1,1,0
80272984,2,40.155155,116.259476,0.0,0.0,0.0,nan,50.0,2,16,0,0,0,0,1,1,0
98318129,2,40.155586,116.26135,0.0,0.0,0.0,nan,50.0,3,16,0,0,0,0,1,1,0
140679374,2,40.155014,116.26171,0.0,0.0,0.0,nan,50.0,4,16,0,0,0,0,1,1,0
156748224,2,40.154423,116.26215,0.0,0.0,0.0,nan,50.0,5,16,0,0,0,0,1,1,0
172937676,2,40.1539,116.26131,0.0,0.0,0.0,nan,99.64426,6,16,0,0,0,0,0,1,0
195762208,2,40.1539,116.26131,0.0,0.0,0.0,nan,0.0,6,21,0,0,0,0,1,1,0
