timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
35317892,35317602,0.99990773,0.0065006632,-0.008721221,-0.008146111,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
35369477,35369190,0.9999064,0.006626317,-0.008986288,-0.00791127,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
35417943,35417654,0.9999108,0.006061698,-0.009031021,-0.007760447,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
35470169,35469875,0.9999174,0.0054102936,-0.009127547,-0.007259373,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
35517901,35517612,0.99992186,0.0050640167,-0.008951211,-0.0071209557,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
35565736,35565436,0.999928,0.0052964757,-0.009113301,-0.00573961,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
35617859,35617568,0.999934,0.0046564997,-0.00930508,-0.0048586596,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
35669475,35669168,0.99994487,0.0043952027,-0.008797276,-0.0036958912,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
35717318,35717028,0.99995214,0.0030123445,-0.008587231,-0.0036147886,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
35766146,35765856,0.99995375,0.0029386175,-0.008548766,-0.0032899238,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
35818098,35817805,0.9999516,0.0038610992,-0.008487495,-0.0031516876,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
35869591,35869307,0.99995303,0.0042653936,-0.008281253,-0.0027015698,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
35918536,35918241,0.99996376,0.0036759633,-0.0070453775,-0.0030601504,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
35965514,35965222,0.9999628,0.0041304706,-0.0068689696,-0.0031895598,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36018153,36017863,0.99996847,0.003699456,-0.0060280347,-0.0036269585,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36065447,36065086,0.9999684,0.0027068513,-0.006130408,-0.004268414,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36118060,36117768,0.99997264,0.0027797115,-0.005291902,-0.004355347,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36169855,36169564,0.99997264,0.0030221667,-0.004656359,-0.0049047107,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36217477,36217174,0.99996865,0.003337356,-0.0047746245,-0.005372791,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36265829,36265528,0.99997115,0.0038133888,-0.0038272277,-0.005348286,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36317365,36317079,0.9999769,0.004152094,-0.0025847564,-0.004743327,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36370174,36369877,0.9999804,0.0038334667,-0.0025881433,-0.004227082,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36418170,36417878,0.9999846,0.0035746417,-0.0019895106,-0.0037439486,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36465802,36465509,0.99998605,0.003872091,-0.0014002238,-0.003307325,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36518196,36517905,0.9999896,0.0033011667,-0.0017540302,-0.002619622,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36569481,36569193,0.9999907,0.0036607557,-0.001409992,-0.001803625,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36617652,36617361,0.99998844,0.004448181,-0.00042985164,-0.0018259804,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36665914,36665616,0.9999878,0.004548184,-0.00032603557,-0.001917106,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36718039,36717751,0.9999851,0.005179159,-0.0009367067,-0.0014706803,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36766020,36765727,0.99998426,0.0054979553,-0.00070111296,-0.0009825748,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36818034,36817747,0.9999856,0.005058205,-0.0009910297,-0.0015621104,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36865957,36865668,0.99998116,0.0059376108,-0.0011367077,-0.0010885721,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36918179,36917893,0.99998033,0.0060974155,-0.0009583086,-0.0011218206,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
36966149,36965861,0.99997956,0.006317185,-0.00041613381,-0.0008922698,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37017950,37017663,0.99997884,0.0063932436,-9.7894896e-05,-0.0011751852,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37070184,37069899,0.99998075,0.0060188565,0.00023321304,-0.0015339578,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37117954,37117669,0.9999784,0.0063116183,0.00024993764,-0.0018235133,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37166189,37165902,0.99997705,0.006710484,0.00066051044,-0.00074443186,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37218178,37217886,0.99997693,0.0065890597,0.0012041706,-0.0012202192,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37270283,37269932,0.9999765,0.006401901,0.001890642,-0.0015775834,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37317869,37317573,0.9999798,0.0060396562,0.001445624,-0.0013951286,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37366092,37365797,0.99997365,0.0068553025,0.0013990648,-0.0019534777,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37418227,37417939,0.99997944,0.0058217337,0.0015735929,-0.0021769337,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37465651,37465361,0.99997306,0.0065302453,0.0018897185,-0.0027881619,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37518214,37517929,0.99997103,0.006741983,0.0017380149,-0.0030787017,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37570115,37569824,0.99997365,0.0068051503,0.00094634766,-0.002367662,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37618097,37617806,0.99997145,0.0070516453,0.0011753762,-0.0024493923,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37665725,37665429,0.999968,0.007398899,0.0012777677,-0.0027931845,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37718004,37717718,0.9999672,0.007554733,0.0010433875,-0.0027198019,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37770237,37769931,0.9999716,0.0072289733,0.0010362008,-0.001883437,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37818225,37817940,0.9999741,0.006742983,0.00036593515,-0.0025174147,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37865689,37865393,0.9999751,0.0066677667,-0.00033868375,-0.0023229364,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37918274,37917931,0.99997765,0.0063257446,-0.0003498191,-0.0021420536,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
37970031,37969726,0.9999788,0.0059825876,-0.000686445,-0.0024989534,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
38018018,38017734,0.99997616,0.005981619,-0.0012378357,-0.003228325,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
38065972,38065685,0.9999776,0.0059400615,-0.0016625562,-0.0026163245,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
38117571,38117161,0.9999771,0.0060644713,-0.0017700983,-0.0024262324,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
38166093,38165804,0.9999777,0.0059409738,-0.0021176464,-0.0021932232,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
38217649,38217359,0.99997693,0.005825381,-0.003043522,-0.0017409285,0.9999999,9.841441e-10,6.9424977e-10,-0.00051576976,2
