timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
26049674,26049105,-0.021810696,0.010113322,-0.050594956
26053233,26053205,-0.026567372,0.031183742,-0.037546795
26069177,26069149,0.0037530514,-0.0013828812,-0.0513904
26089247,26089216,0.014495696,-0.020583186,0.07616789
26109094,26109065,-0.032597426,-0.028017608,0.027142065
26125900,26125872,-0.0143746035,0.040533047,-0.012125177
26153021,26152993,-0.074569486,0.0044019106,-0.0920546
26169196,26169167,-0.019888325,0.008202319,0.07439469
26189330,26189302,0.052752763,-0.035914253,-0.0580419
26212895,26212867,0.06837066,-0.06072384,-0.0063243257
26228817,26228790,0.028585888,-0.009899206,-0.056042552
26248852,26248810,-0.034990035,-0.023644153,0.089971274
26268912,26268884,-0.018608939,-0.014137326,0.0037089481
26293645,26293613,0.05468606,0.10371034,-0.066286154
26309444,26309417,-0.051855113,0.011740388,0.047118314
26329519,26329491,-0.07296031,-0.08559195,-0.058412466
26353722,26353682,0.009833157,0.022445103,0.02442357
26369305,26369277,-0.0983189,0.026097307,0.00022829445
26389333,26389305,0.045357723,0.0013733688,-0.01751677
26408669,26408641,-0.005230139,-0.028427659,-0.0149520775
26433415,26433387,0.036239494,0.014278819,-0.019003699
26449350,26449322,0.031124521,-0.009397843,-0.021666368
26469409,26469381,0.025944518,0.015245252,0.016413301
26493240,26493213,-0.03754696,-0.024039373,-0.026730882
26508827,26508800,0.0064205886,-0.047435656,-0.022393323
26529434,26529407,-0.024484836,0.06097837,0.038160708
26553115,26553088,0.0016394258,-0.040351246,-0.02990661
26573152,26573123,0.011024305,0.06941261,-0.004539282
26589522,26589494,0.052283455,-0.025337167,-0.022989029
26609410,26609382,-0.0011085381,-0.060382582,-0.046177346
26633530,26633503,-0.06415127,-0.054956414,0.009359674
26649311,26649283,-0.09215493,0.0091584325,0.041441884
26668895,26668867,0.026714439,0.06417046,-0.0037689216
26689666,26689639,0.0040667714,-0.012088983,0.011865232
26713542,26713514,-0.020408493,0.017831694,-0.03962323
26729087,26729059,0.031159064,-0.08433825,-0.023830611
26749654,26749621,-0.062006187,0.03281534,0.014156456
26772972,26772944,0.06713509,0.022884134,-0.052201793
26789280,26789252,-0.03899382,0.013451108,-0.040735025
26809361,26809333,-0.026369033,0.0750865,0.009002031
26829113,26829085,0.004424727,0.01891931,0.012104018
26853337,26853309,-0.001270041,-0.004367625,-0.017771905
26869560,26869532,-0.007992344,-0.004394242,-0.034108773
26889414,26889386,-0.043047313,-0.042926196,-0.09853336
26913540,26913512,-0.02286061,0.08705613,-0.09178774
26929032,26929004,-0.0016021163,-0.00561622,-0.010593436
26949710,26949683,0.013843492,-0.035009403,-0.034904055
26969369,26969342,-0.041677803,-0.0120425755,0.028051458
26993109,26993082,0.020489106,-0.024969248,0.059564877
27009368,27009339,0.05962358,-0.03483721,0.014064488
27028856,27028828,0.06115219,0.030702198,0.101321355
27053391,27053363,0.028105935,-0.025352318,-0.027858792
27069364,27069336,-0.0052526686,-0.111966014,0.06299871
27088903,27088875,0.013578453,-0.045971174,0.0172146
27109287,27109259,0.014770963,0.026252793,0.00086048944
27133305,27133277,0.06604695,0.006824584,-0.03551304
27149142,27149114,0.032336846,0.01747383,0.03567604
27164819,27164791,0.013649393,0.020689143,-0.0038831967
27188677,27188649,-0.018970469,0.025905505,-0.05677922
27208857,27208827,-0.02741732,-0.063637316,-0.02740977
27229546,27229519,-0.010637273,-0.01230345,0.02274352
27249380,27249353,0.027058227,-0.07213016,0.006489179
27269402,27269375,0.043302283,-0.03781894,0.0429419
27289235,27289207,0.04549172,0.004941572,-0.07489237
27308701,27308673,-0.020515816,-0.028068854,-0.07794078
27333324,27333296,-0.008046758,-0.029935354,0.045398697
27349159,27349131,-0.03497353,-0.042875063,-0.043308496
27369305,27369278,-0.049631655,-0.022361318,0.063316256
27392914,27392887,-0.020736773,-0.012917011,-0.06139841
27413680,27413653,-0.06939483,-0.0039482564,-0.012087946
27429314,27429283,-0.069481835,-0.014361378,0.010289481
27449413,27449385,-0.030737592,0.009702534,-0.0040643783
27473563,27473536,0.005342635,0.007714874,0.018322831
