timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
54679363,54679332,0.61165804,8.6068285e-06,-0.460866,1.0022173,0.023547508,1.0,1
54775114,54775081,0.6119198,8.433599e-06,-0.13782178,1.0021875,0.0021059315,1.0,1
54874803,54874769,0.6119441,8.267222e-06,0.08970349,1.0021374,0.0008921727,1.0,1
54971396,54971362,0.6119628,8.102183e-06,-0.04249856,1.0022327,0.00020023377,1.0,1
55075418,55075384,0.61148274,7.937118e-06,0.29015094,1.0027136,0.00932886,1.0,1
55175241,55175207,0.6104767,7.774896e-06,0.5536785,1.002253,0.03398564,1.0,1
55272417,55272383,0.6096228,7.616364e-06,0.22114855,1.0022749,0.005421742,1.0,1
55375417,55375383,0.60853595,7.4601453e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
55471503,55471471,0.60853595,7.4725676e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
55575577,55575545,0.60853595,7.487404e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
55675068,55675026,0.60853595,7.5010503e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
55775112,55775080,0.60853595,7.5144567e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
55879412,55879382,0.60853595,7.527675e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
55966650,55966615,0.60853595,7.5389958e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
56079572,56079543,0.60853595,7.5548737e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
56175535,56175506,0.60853595,7.5684675e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
56275135,56275106,0.60853595,7.5818184e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
56374818,56374788,0.60853595,7.595737e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
56475534,56475505,0.60853595,7.6092356e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
56572427,56572398,0.60853595,7.621802e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
56675538,56675509,0.60853595,7.634685e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
56779135,56779106,0.60853595,7.648984e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
56871493,56871464,0.60853595,7.661694e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
56971510,56971481,0.60853595,7.675047e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
57075655,57075621,0.60853595,7.688225e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
57174925,57174896,0.60853595,7.701392e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
57275238,57275209,0.60853595,7.714769e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
57375267,57375236,0.60853595,7.728098e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
57475071,57475035,0.60853595,7.7414325e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
57579265,57579234,0.60853595,7.756308e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
57671408,57671378,0.60853595,7.768792e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
57775354,57775325,0.60853595,7.78326e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
57871276,57871247,0.60853595,7.795527e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
57975486,57975456,0.60853595,7.809922e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
58075533,58075504,0.60853595,7.823333e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
58175550,58175518,0.60853595,7.836762e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
58275564,58275535,0.60853595,7.850145e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
58375637,58375603,0.60853595,7.863609e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
58475340,58475307,0.60853595,7.876898e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
58575426,58575396,0.60853595,7.889084e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
58670835,58670802,0.60853595,7.902795e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
58771043,58771010,0.60853595,7.916199e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
58875319,58875291,0.60853595,7.93065e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
58975203,58975171,0.60853595,7.94404e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
59075259,59075223,0.60853595,7.957486e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
59175341,59175312,0.60853595,7.970951e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
59275210,59275182,0.60853595,7.984343e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
59371314,59371284,0.60853595,7.996775e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
59467493,59467464,0.60853595,8.009152e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
59575267,59575236,0.60853595,8.023235e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
59679240,59679211,0.60853595,8.038112e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
