timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
26161593,26151085,197388,0.28713676,-0.03683363,0.46366677,0
26182963,26173580,197388,0.2765536,-0.022093773,0.48678637,0
26673249,26663065,197388,0.2782883,-0.044523433,0.469163,0
27157611,27149228,197388,0.30153862,-0.025857434,0.45613214,0
27669372,27659253,197388,0.27928254,-0.03519806,0.47070986,0
28165603,28155453,197388,0.30637416,-0.011891732,0.46623322,0
28661139,28647602,197388,0.278134,-0.01372187,0.4891495,0
29169309,29158968,197388,0.28029403,-0.03318844,0.47622013,0
29649701,29631395,197388,0.28806004,0.0014217101,0.4964566,0
30163076,30146991,197388,0.26932284,-0.040148277,0.4509918,0
30654862,30645599,197388,0.2774319,-0.026487365,0.43148145,0
31170349,31161370,197388,0.28637758,-0.021238586,0.47077003,0
31658207,31649336,197388,0.26323637,-0.026756791,0.45306784,0
32158735,32147339,197388,0.28153077,-0.020815525,0.49827123,0
32657852,32647503,197388,0.27244815,-0.011806754,0.45086992,0
33174887,33163705,197388,0.26712838,-0.04170616,0.44522077,0
33662609,33653609,197388,0.26837063,-0.04039414,0.46370602,0
34167602,34157990,197388,0.2839699,-0.038413852,0.4503866,0
34662501,34651747,197388,0.28452858,-0.014548856,0.48023158,0
35158846,35149945,197388,0.2828273,-0.053946108,0.47462645,0
35673988,35663261,197388,0.28298745,-0.014552521,0.44530103,0
36170035,36159581,197388,0.28650913,-0.03526572,0.48253864,0
36670622,36661546,197388,0.2854572,-0.011752332,0.47008562,0
37158614,37147618,197388,0.267461,0.0049985256,0.46365926,0
37670893,37661780,197388,0.28885016,-0.010083533,0.44273296,0
38162400,38153963,197388,0.26690695,-0.009391689,0.4493341,0
38662494,38652044,197388,0.27300674,-0.033236373,0.44401282,0
39166197,39155842,197388,0.27181372,-0.04195371,0.43595237,0
39663017,39651901,197388,0.23921494,-0.042723946,0.4573788,0
40175129,40164102,197388,0.28959477,-0.021920577,0.46639597,0
40662060,40651917,197388,0.28884852,-0.0033764446,0.44548795,0
41157783,41147522,197388,0.24511205,-0.027027449,0.46509847,0
41674457,41660358,197388,0.28975067,-0.020574395,0.4514948,0
42167165,42158028,197388,0.27012116,-0.025099246,0.46167514,0
42655220,42646126,197388,0.26407167,-0.015181369,0.45509085,0
43162588,43154240,197388,0.28610206,-0.05140231,0.47228104,0
43674756,43663881,197388,0.2625737,-0.037031695,0.4501598,0
44174778,44164297,197388,0.28713804,-0.019776829,0.45546526,0
44671022,44659964,197388,0.28811193,-0.020920731,0.45915848,0
45170679,45162182,197388,0.29461557,-0.044550713,0.4830632,0
45674515,45665989,197388,0.2878774,-0.03659443,0.48606512,0
46170243,46160010,197388,0.27474833,-0.028430521,0.4622705,0
46662512,46655881,197388,0.27045846,-0.015874319,0.47998047,0
47155328,47144274,197388,0.2742662,-0.0041998792,0.45431253,0
47662553,47654248,197388,0.284671,-0.037023824,0.4575207,0
48167595,48158248,197388,0.28473055,-0.038423408,0.45747232,0
48674714,48664053,197388,0.28769752,-0.041826468,0.45751756,0
49166829,49156011,197388,0.28292906,-0.05006824,0.4719376,0
49670892,49662112,197388,0.31190267,-0.057850834,0.47045276,0
50167186,50158350,197388,0.28299245,-0.027057609,0.44931266,0
50655420,50646213,197388,0.26151243,-0.061184812,0.43095788,0
51175505,51166522,197388,0.27742276,-0.05559597,0.4524645,0
51655149,51644388,197388,0.2744723,-0.042563953,0.46917266,0
52155261,52144391,197388,0.27702653,-0.01699515,0.4666544,0
52667382,52656385,197388,0.26775068,-0.042996317,0.47334275,0
53167616,53156021,197388,0.26346058,-0.057998046,0.47536355,0
53666745,53657235,197388,0.28651077,-0.0485906,0.45428103,0
54159121,54148356,197388,0.29958254,-0.055061713,0.46606624,0
54670799,54658936,197388,0.26608446,-0.057754833,0.4645512,0
55163534,55154414,197388,0.28922963,-0.044091407,0.4714714,0
55655935,55643964,197388,0.2722762,-0.0363476,0.45500764,0
56175742,56166437,197388,0.3091379,-0.053430866,0.477308,0
56667746,56658392,197388,0.29704317,-0.023699798,0.4695433,0
57167256,57156159,197388,0.27743345,-0.02367585,0.4623822,0
57660343,57650421,197388,0.2923911,-0.029035542,0.46926615,0
58159078,58148596,197388,0.27788937,-0.03410442,0.47970375,0
58671151,58662305,197388,0.2623814,-0.034971472,0.46136448,0
59159765,59150601,197388,0.28510663,-0.030772662,0.46943808,0
59658927,59648376,197388,0.2970788,-0.036528327,0.45273325,0
60164082,60154661,197388,0.2817451,-0.015186967,0.46550322,0
60655861,60646603,197388,0.27183744,-0.0406682,0.481735,0
61171827,61160639,197388,0.3174826,-0.01800209,0.50168127,0
61670651,61660427,197388,0.29427636,-0.025877608,0.47439486,0
62156014,62144855,197388,0.29856363,-0.04974729,0.47192237,0
62670610,62660418,197388,0.28363276,-0.016295047,0.47862828,0
63171443,63160546,197388,0.256749,-0.037657037,0.4827912,0
63675168,63664664,197388,0.28345364,-0.037509732,0.4722367,0
64163071,64154716,197388,0.26613098,-0.02100074,0.47190395,0
64657518,64646826,197388,0.28929868,-0.03551836,0.494728,0
