timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
33858159,0.0,-0.0,-0.013326256,0.0,0.9999778,0.0,-0.0,-0.0066630784,0.0,0.0,-0.0,0,0,0,0,0
33861952,0.0,-0.0,-0.013205615,0.0,0.9999782,0.0,-0.0,-0.0066027595,0.0,0.0,-0.0,0,0,0,0,0
33909780,0.0,-0.0,-0.014209749,0.0,0.9999748,0.0,-0.0,-0.007104815,0.0,0.0,-0.0,0,0,0,0,0
33961833,0.0,-0.0,-0.014251964,0.0,0.9999746,0.0,-0.0,-0.0071259215,0.0,0.0,-0.0,0,0,0,0,0
34009921,0.0,-0.0,-0.015518437,0.0,0.9999699,0.0,-0.0,-0.007759141,0.0,0.0,-0.0,0,0,0,0,0
34062003,0.0,-0.0,-0.015404178,0.0,0.9999703,0.0,-0.0,-0.0077020125,0.0,0.0,-0.0,0,0,0,0,0
34109342,0.0,-0.0,-0.016101968,0.0,0.9999676,0.0,-0.0,-0.008050897,0.0,0.0,-0.0,0,0,0,0,0
34162316,0.0,-0.0,-0.016457638,0.0,0.99996614,0.0,-0.0,-0.008228726,0.0,0.0,-0.0,0,0,0,0,0
34214228,0.0,-0.0,-0.016536782,0.0,0.99996585,0.0,-0.0,-0.008268297,0.0,0.0,-0.0,0,0,0,0,0
34262230,0.0,-0.0,-0.016665174,0.0,0.9999653,0.0,-0.0,-0.00833249,0.0,0.0,-0.0,0,0,0,0,0
34309811,0.0,-0.0,-0.015601286,0.0,0.9999696,0.0,-0.0,-0.0078005637,0.0,0.0,-0.0,0,0,0,0,0
34361358,0.0,-0.0,-0.0154049145,0.0,0.9999703,0.0,-0.0,-0.007702381,0.0,0.0,-0.0,0,0,0,0,0
34414307,0.0,-0.0,-0.015346124,0.0,0.99997056,0.0,-0.0,-0.0076729865,0.0,0.0,-0.0,0,0,0,0,0
34461923,0.0,-0.0,-0.01262561,0.0,0.9999801,0.0,-0.0,-0.0063127633,0.0,0.0,-0.0,0,0,0,0,0
34510118,0.0,-0.0,-0.009060136,0.0,0.99998975,0.0,-0.0,-0.0045300527,0.0,0.0,-0.0,0,0,0,0,0
34561690,0.0,-0.0,-0.0073162196,0.0,0.9999933,0.0,-0.0,-0.0036581017,0.0,0.0,-0.0,0,0,0,0,0
34613669,0.0,-0.0,-0.007285004,0.0,0.9999934,0.0,-0.0,-0.0036424939,0.0,0.0,-0.0,0,0,0,0,0
34662038,0.0,-0.0,-0.0057550026,0.0,0.9999959,0.0,-0.0,-0.0028774973,0.0,0.0,-0.0,0,0,0,0,0
34711040,0.0,-0.0,-0.0069847116,0.0,0.9999939,0.0,-0.0,-0.0034923488,0.0,0.0,-0.0,0,0,0,0,0
34762145,0.0,-0.0,-0.007723927,0.0,0.99999255,0.0,-0.0,-0.003861954,0.0,0.0,-0.0,0,0,0,0,0
34809252,0.0,-0.0,-0.007346954,0.0,0.99999326,0.0,-0.0,-0.003673469,0.0,0.0,-0.0,0,0,0,0,0
34862014,0.0,-0.0,-0.010665663,0.0,0.99998575,0.0,-0.0,-0.005332806,0.0,0.0,-0.0,0,0,0,0,0
34914048,0.0,-0.0,-0.012745165,0.0,0.9999797,0.0,-0.0,-0.0063725393,0.0,0.0,-0.0,0,0,0,0,0
34961898,0.0,-0.0,-0.012621621,0.0,0.9999801,0.0,-0.0,-0.0063107684,0.0,0.0,-0.0,0,0,0,0,0
35009879,0.0,-0.0,-0.0118294675,0.0,0.99998254,0.0,-0.0,-0.0059146993,0.0,0.0,-0.0,0,0,0,0,0
35057988,0.0,-0.0,-0.013072678,0.0,0.99997866,0.0,-0.0,-0.0065362924,0.0,0.0,-0.0,0,0,0,0,0
35114066,0.0,-0.0,-0.013210104,0.0,0.9999782,0.0,-0.0,-0.006605004,0.0,0.0,-0.0,0,0,0,0,0
35162270,0.0,-0.0,-0.014723196,0.0,0.9999729,0.0,-0.0,-0.0073615313,0.0,0.0,-0.0,0,0,0,0,0
35209685,0.0,-0.0,-0.015636493,0.0,0.9999694,0.0,-0.0,-0.007818166,0.0,0.0,-0.0,0,0,0,0,0
35262167,0.0,-0.0,-0.016256273,0.0,0.999967,0.0,-0.0,-0.008128047,0.0,0.0,-0.0,0,0,0,0,0
35309953,0.0,-0.0,-0.016027994,0.0,0.9999679,0.0,-0.0,-0.008013912,0.0,0.0,-0.0,0,0,0,0,0
35361826,0.0,-0.0,-0.016106516,0.0,0.9999676,0.0,-0.0,-0.008053171,0.0,0.0,-0.0,0,0,0,0,0
35409979,0.0,-0.0,-0.015956147,0.0,0.9999682,0.0,-0.0,-0.007977989,0.0,0.0,-0.0,0,0,0,0,0
35461689,0.0,-0.0,-0.014880963,0.0,0.99997234,0.0,-0.0,-0.007440413,0.0,0.0,-0.0,0,0,0,0,0
