timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
30546026,30545371,1310988,-0.0034209252,-0.004117178,1.837552e-05,0.34906584,2.2474063e-05,2.247519e-05,6.9266466e-06,1310988,0.0,0.0,0.025576942,0.4,0.0003704324,0.0003704324,0.00028849053,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
30605557,30604887,1310988,-0.0034807117,-0.0041914005,1.8693443e-05,0.34906584,2.2874028e-05,2.2875174e-05,6.6536822e-06,1310988,0.0,0.0,0.027176403,0.4,0.0003770249,0.0003770249,0.00028987566,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
30654623,30653970,1310988,-0.003530875,-0.004253726,1.8960118e-05,0.34906584,2.320943e-05,2.3210592e-05,6.4294786e-06,1310988,0.0,0.0,0.028591206,0.4,0.00038255317,0.00038255317,0.00029021554,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
30730141,30729467,1310988,-0.003748268,-0.0044897683,2.0165284e-05,0.34906584,1.8476603e-05,1.8477638e-05,6.191685e-06,1310988,0.0,0.0,0.030056935,0.4,0.00038658959,0.00038658959,0.0002892289,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
30777939,30777275,1310988,-0.0037958045,-0.004549802,2.0415973e-05,0.34906584,1.872046e-05,1.8721506e-05,5.9824183e-06,1310988,0.0,0.0,0.032609247,0.4,0.00039169178,0.00039169178,0.0002888567,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
30986262,30985667,1310988,-0.0040983423,-0.004741977,2.2012497e-05,0.34906584,1.5574422e-05,1.557534e-05,5.058352e-06,1310988,0.0,0.0,0.03362924,0.4,0.00040390127,0.00040390127,0.00029786082,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
31141878,31141274,1310988,-0.0044888263,-0.0048739742,2.4026802e-05,0.34906584,1.2884104e-05,1.2884899e-05,4.6071978e-06,1310988,0.0,0.0,0.034669265,0.4,0.00041631222,0.00041631222,0.00030701293,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
31934103,31933449,1310988,-0.005294011,-0.0049415436,2.80859e-05,0.34906584,5.9624826e-06,5.962806e-06,2.6819428e-06,1310988,0.0,0.0,0.03577659,0.4,0.00041008636,0.00041008636,0.00030177724,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
32242262,32241596,1310988,-0.005197805,-0.0050392793,2.77996e-05,0.34906584,4.7672283e-06,4.767336e-06,2.2166885e-06,1310988,0.0,0.0,0.03682217,0.4,0.0004044766,0.0004044766,0.00029643945,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
32410124,32409518,1310988,-0.0050349054,-0.0052479566,2.7848522e-05,0.34906584,3.8620515e-06,3.8620387e-06,2.0222435e-06,1310988,0.0,0.0,0.037877906,0.4,0.0004061284,0.0004061284,0.00029665246,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
32654174,32653511,1310988,-0.0047371215,-0.0054468093,2.7793876e-05,0.34906584,3.0677852e-06,3.0676786e-06,1.7575812e-06,1310988,0.0,0.0,0.038971167,0.4,0.00040432278,0.00040432278,0.00029280016,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
32778114,32777457,1310988,-0.0044542197,-0.005663487,2.8056369e-05,0.34906584,2.456672e-06,2.456541e-06,1.659935e-06,1310988,0.0,0.0,0.039986383,0.4,0.0004046292,0.0004046292,0.00029162384,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
