timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
46550568,46550393,1310988,1310988,4.9070743e-05,0.00013052601,0.00018595027,0.00033257986,0.0011013357,-0.044489503,4111,4390,0,0
47050307,47050130,1310988,1310988,0.00010598011,-0.00044807763,-6.0098137e-05,9.44176e-05,-0.0007838216,-0.036061607,4078,3763,0,0
47550667,47550485,1310988,1310988,-9.724388e-05,-5.744025e-05,0.00023665906,-0.00011815964,0.000340283,-0.048526365,4105,4569,0,0
48050220,48050037,1310988,1310988,-0.00048142287,9.182612e-05,0.00046093282,0.00079209486,-0.00031873243,-0.041099835,3890,3979,0,0
48550410,48550232,1310988,1310988,-1.0609018e-05,0.0003241045,6.683904e-05,0.0009767093,-0.00064895296,-0.039332926,4120,3989,0,0
49050487,49050311,1310988,1310988,0.00039095405,0.000866997,-2.4129326e-05,0.00010250548,0.0001322,-0.03703238,4174,3768,0,0
49550286,49550109,1310988,1310988,-0.00013503467,-0.000118067386,-0.00017680415,0.00041144545,-0.0013181615,-0.040613983,3722,4005,0,0
50050615,50050439,1310988,1310988,0.00023298191,9.850579e-05,0.00015833159,-0.00042559276,0.000823623,-0.042903237,4038,4208,0,0
50550291,50550110,1310988,1310988,0.00024766388,0.00017282764,0.00016301993,7.167091e-05,0.0005357589,-0.039219283,3985,3952,0,0
51050468,51050291,1310988,1310988,0.00037593098,0.000110490095,-6.442041e-05,3.5359477e-05,-0.00029424936,-0.040597852,3898,4179,0,0
51550761,51550581,1310988,1310988,0.00015492273,-9.630199e-05,-0.0001449606,-0.0021092782,-0.0014946834,-0.087759495,3977,8930,0,0
52050445,52050271,1310988,1310988,-0.0004084546,-0.000103850536,0.00027994518,-0.00032806915,0.0002638242,-0.038291752,4023,4025,0,0
52550555,52550382,1310988,1310988,-5.4139302e-05,-0.00031019267,3.7269605e-05,0.0003816601,-0.0014173252,-0.038414437,3879,3980,0,0
53050574,53050398,1310988,1310988,-5.6772944e-05,0.00048673636,-0.00012348717,-0.00020826494,4.2027175e-05,-0.037037186,3884,3994,0,0
53550423,53550248,1310988,1310988,-2.9923354e-05,-0.00014341422,-0.00016595818,-0.0014845607,-0.0010428294,-0.036746472,4064,3971,0,0
54050457,54050267,1310988,1310988,0.00035100788,-0.000656717,-0.00041673676,-0.0001028135,-0.0003366189,-0.038494244,3945,3954,0,0
54550362,54550181,1310988,1310988,0.00046002324,0.00015889159,-0.00015118711,-0.00016704509,5.9443333e-05,-0.036783017,4023,3819,0,0
55050591,55050417,1310988,1310988,-0.00048261715,-0.0006910993,0.00011113025,0.00024402105,-0.000812844,-0.041560363,4003,3955,0,0
55550139,55549965,1310988,1310988,-2.739928e-06,9.736616e-05,-0.00024710016,-0.00060163107,0.00047776342,-0.043008614,3980,3677,0,0
56050556,56050382,1310988,1310988,0.00025122895,-0.00048400255,-0.00011951021,0.00021709844,-0.00034352802,-0.04244767,3984,4506,0,0
56550168,56549991,1310988,1310988,0.00069419836,-0.00044549606,-0.00023432249,-0.00044611996,-0.0001874327,-0.037238166,3844,3771,0,0
57050895,57050716,1310988,1310988,-7.899188e-05,-0.0002922627,-0.00012857284,9.424513e-06,-0.00012314391,-0.038757835,3924,3995,0,0
57550385,57550205,1310988,1310988,-0.0004846746,0.00029271533,-0.00016090249,0.0007061506,-0.00041446142,-0.037338376,3977,3831,0,0
58050756,58050572,1310988,1310988,-0.0006200556,-0.00018406476,-0.0001451108,-0.00034015073,0.00039694968,-0.04027954,3864,4120,0,0
58550821,58550642,1310988,1310988,-7.282117e-05,-0.0006032581,0.00023734858,-0.001055068,0.0002370517,-0.0369953,4071,4022,0,0
59050452,59050276,1310988,1310988,0.0004036963,2.373341e-05,0.00027404664,-0.00035228222,-0.0009986168,-0.041730743,3961,4210,0,0
59550576,59550401,1310988,1310988,0.00024053935,-4.170155e-06,0.00014700381,-0.0017746871,-0.00022887472,-0.067570396,3961,6984,0,0
60050816,60050640,1310988,1310988,1.4454202e-05,-0.00037873737,9.0767346e-05,-0.0020352367,-0.0003861755,-0.03690671,3972,3864,0,0
60550860,60550684,1310988,1310988,0.00018030497,-0.00036978337,5.6738583e-05,-0.0009444272,-0.0009283995,-0.045564596,3181,4808,0,0
61051003,61050828,1310988,1310988,-0.00049924594,-0.00028159135,2.7333215e-06,-0.00028386677,-0.0005226503,-0.039057143,4078,4017,0,0
61550893,61550716,1310988,1310988,-0.00045030328,1.3013386e-06,0.00023272383,-0.00046714995,0.0011956744,-0.035074145,4081,3799,0,0
62041536,62041360,1310988,1310988,-0.004068845,0.0061414572,0.0012060065,-0.00553895,0.0021027601,-0.15834557,15008,16248,0,0
62550520,62550344,1310988,1310988,0.0011499863,0.00016286652,0.00043933044,-0.0005996298,0.00065735163,-0.040995847,4096,4124,0,0
63046259,63046030,1310988,1310988,0.0005955783,-1.3558071e-05,0.00034589338,-0.0016951753,-0.0002092888,-0.07169408,3918,7521,0,0
63551095,63550918,1310988,1310988,0.00023275768,-0.00070062926,-0.0002148246,-0.0010067086,0.0008845012,-0.037311748,4094,3906,0,0
64050342,64050164,1310988,1310988,0.0002994545,-0.00058897544,-0.00024330438,-8.992221e-05,8.937436e-05,-0.03793359,3941,3926,0,0
64550815,64550640,1310988,1310988,-3.1449203e-05,-0.00024520856,0.00010359695,-0.0011960831,-0.0010205586,-0.038457297,3999,4049,0,0
65051166,65050990,1310988,1310988,-0.0004319051,-8.1339924e-05,-0.00019859958,-0.0016145657,-8.4129424e-05,-0.04331264,4013,4514,0,0
65550667,65550487,1310988,1310988,-2.2899301e-05,7.0639717e-06,7.077074e-05,-0.0010032387,-0.00028469533,-0.03687392,3969,4007,0,0
66051064,66050889,1310988,1310988,-0.00016349509,-4.0911294e-05,0.00028836398,-0.0015776502,-0.0003678435,-0.035901397,4121,3909,0,0
66550664,66550477,1310988,1310988,8.621341e-05,-9.3272e-05,0.00014816009,-0.0012544165,-0.0005349188,-0.038793683,3438,3974,0,0
67051284,67051108,1310988,1310988,-0.00028297666,0.0003861371,0.00031179277,-0.0016601639,0.00017125091,-0.032645702,4055,3995,0,0
67551101,67550926,1310988,1310988,0.00013625654,0.00052933,-0.0002937868,-0.0004981598,0.00065815536,-0.04471335,3346,4684,0,0
68050972,68050791,1310988,1310988,8.546078e-05,0.00016168805,-0.000226495,5.0610128e-05,0.0009778036,-0.035579138,3893,3963,0,0
